benchmark name,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,dram_utilization,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,nvlink_total_data_transmitted,nvlink_total_data_received,nvlink_user_data_transmitted,nvlink_user_data_received,nvlink_overhead_data_transmitted,nvlink_overhead_data_received,nvlink_total_nratom_data_transmitted,nvlink_user_nratom_data_transmitted,nvlink_total_ratom_data_transmitted,nvlink_user_ratom_data_transmitted,nvlink_total_write_data_transmitted,nvlink_user_write_data_transmitted,nvlink_transmit_throughput,nvlink_receive_throughput,nvlink_total_response_data_received,nvlink_user_response_data_received,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,issue_slot_utilization,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,shared_utilization,l2_utilization,tex_utilization,ldst_fu_utilization,cf_fu_utilization,tex_fu_utilization,special_fu_utilization,half_precision_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,sysmem_read_utilization,sysmem_write_utilization,pcie_total_data_transmitted,pcie_total_data_received,inst_executed_global_loads,inst_executed_local_loads,inst_executed_shared_loads,inst_executed_surface_loads,inst_executed_global_stores,inst_executed_local_stores,inst_executed_shared_stores,inst_executed_surface_stores,inst_executed_global_atomics,inst_executed_global_reductions,inst_executed_surface_atomics,inst_executed_surface_reductions,inst_executed_shared_atomics,inst_executed_tex_ops,l2_global_load_bytes,l2_local_load_bytes,l2_surface_load_bytes,dram_read_bytes,dram_write_bytes,l2_local_global_store_bytes,l2_global_reduction_bytes,l2_global_atomic_store_bytes,l2_surface_store_bytes,l2_surface_reduction_bytes,l2_surface_atomic_store_bytes,global_load_requests,local_load_requests,surface_load_requests,global_store_requests,local_store_requests,surface_store_requests,global_atomic_requests,global_reduction_requests,surface_atomic_requests,surface_reduction_requests,sysmem_read_bytes,sysmem_write_bytes,l2_tex_hit_rate,texture_load_requests,unique_warps_launched
bfs,17.000045,1.0,0.99999946,0.94117596,0.000048,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0,0,0,0,52429124,38,53,10,13157719,21937,13157233,73873,4.44e-06,0.0,139.551658,30.136719,139.551658,424.010742,0.0,0.7499995800000001,3.2e-07,0.35555556000000005,139.788457,805.405676,558.206632,139.551658,424.010742,139.792460,239.167555,595.832031,119.165039,0.000000,0.000000,0.000000,0.000000,1.0,0.07041361,52428892,0,0,0,0,0,0,0,0,0,222822992,222833200,3,1,0.031913710000000005,0.15309673000000001,0.7146539799999999,0.0,0.0,0.09129152,0.00023762,0.0016583400000000001,0.0,0,0,2936013117,0,419430410,419430531,2936012915,0,222833188,26214427,26214427,78643331,39321731,0,0.000000,0.000000,0,13107234,0.0008401200000000001,0.0080999,38,8640,5760,0,0,1.0,1.0,0,0,0,0,0,0,2.943666,1.962444,0,0,0,0,0,0,0,0.952940,0.952792,0.47639615999999996,0.9984508,0.702979,1.305273,0,1,3,2,1,3,0,0,3,0,0.0,0.0,0.0,1,1,1824000,421120,13107292,0,0,0,38,0,0,0,0,0,0,0,0,0,419431504,0,0,421031472,2363957,1224,0,0,0,0,0,52428892,0,0,38,0,0,0,0,0,0,1720,344,7.799999999999999e-07,0,13107200
gemm,1102886.000000,1.0,1.0,0.9999175800000001,0.000008,1.999740,3.997927,0.000000,0.000000,62.886387,7.876923,1777766400,14166835200,0,0,28311552002,29491200,0,5,7076099873,29491220,4597087013,29525521,0.00067759,0.0,449.173415,2.495408,449.173415,2.495408,0.0,0.0045768399999999996,0.34979095,0.0,349.898808,2.502723,449.173415,448.855234,2.495408,448.869751,2.495411,0.000000,907.000000,0.000000,0.000000,2416.785284,599.538850,1.0,1.0,7077888000,906028646400,0,452984832000,58982400,7248476160000,0,3624118272000,239616000,3686400,127052467200,127052582251,6,1,0.026622729999999997,0.14851143,0.10316058,4.5000000000000003e-07,0.13771221,0.19440712999999998,3.7330000000000003e-05,0.3338229,0.47401431000000005,3624361574400,453044736000,100295884800,11059200,7136870400,276645888000,21521203200,0,116864524123,223142400,223142400,11101824000,9981619200,0,0.000000,0.000000,0,7076281328,0.00013649,0.64250367,29491200,17228,21619,0,0,1.0,1.0,0,0,0,0,0,0,23.833984,29.907227,0,0,0,0,0,0,0,2.160521,2.160519,0.99613934,0.9979607500000001,0.249825,10.984849,3,2,2,2,1,1,1,0,10,10,0.0,0.9707849000000001,0.9621585399999999,0,1,1051750,1280512,671385600,0,7087910400,0,7372800,0,1993190400,0,0,0,0,0,0,0,226432087961,0,0,147106784428,944816684,943718400,0,0,0,0,0,1769472000,0,0,29491200,0,0,0,0,0,0,0,160,0.34834301,0,115200
pathfinder,1457.826087,1.0,1.0,0.9482716000000001,0.003447,0.990352,0.991275,0.000000,0.000000,15.231925,4.000000,93386,186408,0,0,739906,5120,0,5,183623,5140,163886,61466,0.0,0.0,130.534700,3.693045,132.372567,3.693045,0.0,0.49611078,0.10703188000000001,0.04087111,118.210641,44.335960,133.422777,132.372567,3.693045,132.447054,3.707534,0.000000,3.693021,0.000000,0.000000,537.822700,269.436455,0.98611595,1.0,184976,0,0,0,0,0,0,0,0,0,2145920,2153313,3,1,0.06303041000000001,0.10539274000000001,0.37543936,0.0,0.19360074000000002,0.22413919,0.011951400000000001,0.010214589999999999,0.9394983499999999,0,0,33667552,0,4569088,9900512,7936160,0,2006113,285376,285376,663888,617856,0,0.000000,0.000000,0,183520,2.244e-05,0.016209130000000002,5120,580,391,0,0,1.0,1.0,0,0,0,0,0,0,13.405864,9.029674,0,0,0,0,0,0,0,0.718019,0.720512,0.33562911999999995,0.8371673900000001,0.408571,1.082440,1,1,1,2,1,1,0,0,3,0,0.0,0.0,0.0,0,1,238,157,48576,0,188224,0,1280,0,94208,0,0,0,0,0,0,0,5872640,0,0,5244353,1966941,163840,0,0,0,0,0,184976,0,0,5120,0,0,0,0,0,0,0,160,0.10523617,0,1472
sort,1004.000000,1.0,1.0,0.99010209,0.011957,1.000000,1.097222,0.000000,0.000000,64.000000,16.000000,331350016,402653184,0,0,553648130,134217728,0,5,151763363,134218542,138412396,134215983,0.00850584,0.0,254.039419,246.341255,280.982994,246.341255,0.0,0.49917326,0.66666667,1.0,254.040089,246.331556,254.039419,278.526926,246.341255,278.544258,246.341299,0.000000,14.590820,0.000000,0.000000,1039.587824,855.494147,1.0,1.0,138412032,0,0,0,0,168,168,0,0,0,4211081216,4211125803,8,1,0.22240689,0.19850697,0.53575534,0.09830219,0.25631908,0.60255141,0.04735193,0.00378832,1.0,168,0,30471618560,2799692,11811160064,22552772608,34762391552,0,4123045356,729808896,729808896,1585446912,1786773504,0,0.000000,0.000000,0,151753920,0.18147952,0.00939915,134217728,960,960,0,0,1.0,1.0,0,0,0,0,0,0,58.000977,43.226562,0,0,0,0,0,0,0,1.093264,1.093273,0.53520294,0.9998629800000001,0.957992,1.621397,2,2,2,4,2,2,1,0,2,0,0.0,1.7899999999999998e-06,0.0,0,1,69056,83648,33554432,0,402653184,0,33554432,0,301989888,0,0,0,0,0,0,0,4859149216,0,0,4429196700,4294911484,4294967296,0,0,0,0,0,71303168,0,0,134217728,0,0,0,0,0,0,0,160,0.75059593,0,8388608
cfd,1198.581937,1.0,1.0,1.0,0.000461,0.000000,0.000000,0.000000,0.000000,16.000000,4.000000,0,0,0,0,1230000002,37500000,0,5,317922555,37500077,157608456,37529537,0.17895553,0.0,362.756962,545.068715,494.099281,545.068715,0.0,0.6104672800000001,0.50423114,0.0,558.843750,544.944206,392.384609,405.682853,545.068715,405.684286,545.069834,0.000000,76.205078,0.000000,0.000000,0.000000,0.000000,1.0,1.0,307500000,0,0,0,0,34587748562,5679814698,12487415521,3933102820,900024721,2247341131,2247378321,8,1,0.14602421,0.11265451,0.94766108,0.19680399999999998,0.0,0.45510354999999997,0.00028847000000000003,0.00365953,0.0,26540122917,0,14619135071,60000000,10279530204,2759999935,9612001009,0,1919099944,429006562,429006562,348750000,90000000,0,0.000000,0.000000,0,317921433,0.36853718999999996,0.01935137,37500000,764,667,0,0,1.0,1.0,0,0,0,0,0,0,274.340820,182.893555,0,0,0,0,0,0,0,1.325398,1.326010,0.53839653,0.99965563,0.913273,1.516292,0,2,2,1,2,3,1,0,5,0,0.0,0.14046936000000002,0.0,0,1,34372,41557,76875000,0,0,0,9375000,0,0,0,0,0,0,0,0,0,10173519514,0,0,5043470605,1200945197,1200000000,0,0,0,0,0,307500000,0,0,37500000,0,0,0,0,0,0,0,160,0.4510304,0,1875000
dwt2d,28802.760489,1.0,0.98396331,0.9081322000000001,0.000169,1.000000,1.000000,0.000000,0.000000,16.000000,4.000000,22865921,34374340,0,0,100663298,100663296,0,5,25166544,100663316,25166339,100659148,0.01568608,0.0,216.006203,211.539031,226.238452,211.539031,0.0,0.5,0.047399870000000004,0.0,215.962661,211.530314,225.775328,224.008425,211.539031,224.091894,211.539073,0.000000,72.732422,0.000000,0.000000,1907.487855,1268.867027,1.0,1.0,25165824,0,0,0,0,6845103918,1207959538,2818572190,242649512,402653170,1639972864,1640023292,6,1,0.06794673999999999,0.12360462,0.30961992,0.00155157,0.35085772,0.66371867,0.00051825,0.00390017,0.9907054700000001,7247757256,0,9999220876,805306368,4697620550,2056726661,6710886484,0,1447082776,358612992,358612992,190840832,104857600,0,0.000000,0.000000,0,25165824,0.0016150900000000002,0.02442416,100663296,672,528,0,0,1.0,1.0,0,0,0,0,0,0,266.690430,181.833984,0,0,0,0,0,0,0,1.394284,1.394069,0.61503197,0.99971329,0.952868,1.762550,3,2,1,5,3,2,1,0,5,0,0.0,0.08228959,0.0,0,1,20992,24064,6291456,0,39827130,0,25165824,0,25202831,0,0,0,0,0,0,0,805306368,0,0,805322848,3221092736,3221225472,0,0,0,0,0,25165824,0,0,100663296,0,0,0,0,0,0,0,160,0.025074890000000002,0,8388608
gups,7880.599191,1.0,1.0,0.9862069,0.001022,0.000000,0.000000,0.000000,0.000000,32.000061,8.000000,0,0,41,41,4243458,262144,0,5,9115491,4948001,3781297,3752898,0.00061627,0.0,313.289489,488.708870,313.289489,488.708870,2.013e-05,0.54321935,0.23660281000000002,0.89456522,302.018458,460.254420,313.289489,313.289489,524.587891,313.404220,488.858012,0.000000,60.997070,500.188477,500.188477,0.000000,0.000000,1.0,1.0,3926498,0,0,0,0,0,0,0,0,229376,28192081,28224254,7,1,0.02876925,0.47468802,0.91030198,0.0006275899999999999,0.0,0.42988920999999997,0.01503371,0.00057168,0.0,229376,0,420722691,74088320,16543746,9025540,40247743,0,25193555,1094974,1094974,3398724,617670,3483018,7.234015,57.402782,9867611,4172518,0.06755823999999999,0.00577041,262144,576,384,0,0,1.0,1.0,0,0,0,0,0,0,219.594727,146.395508,0,0,0,0,0,0,0,0.428377,0.428815,0.18349855999999998,0.8126097,0.442114,0.409470,0,2,2,1,1,3,1,0,2,0,0.0,0.0,0.0,0,1,2816,3584,132608,0,0,0,32768,0,0,0,481476,0,0,0,0,0,133519584,1248,0,121001504,120092752,8388608,0,157971840,0,0,0,530432,43,0,262144,43,0,2850736,0,0,0,0,160,0.23660716,0,3584
kmeans,1793.371418,1.0,1.0,0.9708515400000001,0.000904,0.000000,0.000000,0.000000,0.000000,15.686275,4.000000,0,0,0,0,50000002,12500000,0,5,99981275,12500020,99116612,12541161,0.00015563,0.0,33.878074,33.878074,271.024594,33.878074,0.0,0.50164857,0.009650579999999999,0.0,498.899317,33.989631,1002.600989,499.640235,33.878074,499.645268,33.878128,0.000000,41.883789,0.000000,0.000000,0.000000,0.000000,0.125,1.0,125500000,0,0,0,0,1500000000,500000000,500000000,0,0,113642360,113661204,8,1,0.00474254,0.03951715,0.9137611099999999,0.14934744,0.0,0.46738489,0.00010456,5.2680000000000004e-05,0.0,1010000000,0,1170333312,0,124083328,1004000000,222138880,0,108843925,21565104,21565104,141877604,31877604,0,0.000000,0.000000,0,99980043,0.00537927,0.00108244,12500000,576,384,0,0,1.0,1.0,0,0,0,0,0,0,150.783203,100.521484,0,0,0,0,0,0,0,0.368563,0.368645,0.17651092999999998,0.9941048299999999,0.970225,0.419634,0,2,5,1,1,5,0,0,2,0,0.0,0.037782,0.0,0,1,23552,27136,3187500,0,0,0,3187500,0,0,0,0,0,0,0,0,15687500,3199471744,0,0,3171731584,401317152,400000000,0,0,0,0,0,12500000,0,0,12500000,0,0,0,0,0,0,0,160,0.00857792,125500000,63368
lavamd,121966.774811,1.0,0.78300396,0.7819222299999999,0.000049,2.039683,5.374744,0.000000,0.000000,23.261756,25.000000,453656064,14102104000,0,0,7780473122,2743600000,0,5,1561014876,2743600019,167838468,32435625,0.7329651699999999,0.0,37.215744,16.156804,137.727132,64.627214,0.0,0.51191316,0.89241669,0.99936014,3.953540,782.378429,45.818478,36.777938,64.627214,36.770682,64.627215,0.000000,125.000000,0.000000,0.000000,1328.735524,42.744609,0.2702136,0.25,1945118280,3566747108864,480163554432,1371800000000,342983554432,0,0,0,0,0,127891432864,127897667519,1,1,0.09145649,0.06611992,0.01072686,0.0,0.03000031,0.67656671,0.00011310999999999999,0.07092049,0.0858593,68590000000,2194947108864,245581082784,68590000000,179917439328,186453844832,250589093984,0,119330290926,7366479488,7366479488,8954535248,7639790912,0,0.000000,0.000000,0,1561322933,3.2e-07,0.0540958,2743600000,46464,50496,0,0,1.0,1.0,0,0,0,0,0,0,35.862305,38.974609,0,0,0,0,0,0,0,1.212642,1.212699,0.56573254,0.99978532,0.499871,2.800705,2,1,1,1,1,1,0,0,2,9,0.0,0.0,0.52831176,0,1,2045952,2574336,334474880,0,6913872000,0,109744000,0,84405152,0,0,0,0,0,0,0,49955018208,0,0,5370830976,1037940000,87795200000,0,0,0,0,0,1128983792,0,0,685900000,0,0,0,0,0,0,0,160,0.9605748599999999,0,1048576
mandelbrot,467.990160,0.99993834,0.7251855899999999,0.6758348599999999,0.011757,1.000000,0.633447,2.974752,2.374650,14.144786,4.379137,865664,1332544,21270131,21589944,20286183,149484641,0,48900,31215895,178177489,7427960,159157627,0.20175401,0.43112875,0.000000,26.034507,0.000000,28.970978,0.18046599,0.4677085,0.82014247,0.11168781,1.439581,30.845658,3.890137,3.011629,33.135097,6.049819,34.531816,0.000000,9.704549,4.122273,4.184255,1.033019,687.188508,0.0,0.8986409500000001,20072352,0,0,0,0,219743181173,94981963967,26943278696,70874659814,432243824,16072049740,16263224442,1,1,0.07554659,0.0912381,0.00368468,0.00022863999999999998,0.13007916,0.64179515,0.02542635,0.00475922,0.44512803,217359501204,0,65537322173,831553536,27066805369,1153533022,33681025020,0,15132027038,2283119609,2283119609,352870132,239390158,3027851,1.197852,541.092958,5452998,15539422,0.00054663,0.026695470000000002,170970687,7787424,5192016,0,0,1.0,1.0,0,0,0,0,0,0,48.295912,32.199755,0,0,0,0,0,0,0,1.492877,0.847214,0.39414259,0.97862732,0.712816,1.440237,1,1,1,1,2,1,1,0,7,0,0.0,0.15605423,0.0,0,1,2228224,1143296,1434181,7150219,1332544,0,34135638,9075245,1366592,0,1539676,988057,0,0,0,0,111306080,386521856,0,237694720,5093044064,5474386720,35987360,62905984,0,0,0,3743466,13145306,0,149595167,21499685,0,1754167,1070644,0,0,0,1564800,0.17050295,0,34341429
