metric,gemm_1,gemm_2,gemm_3,gemm_4,sort_1,sort_2,sort_3,sort_4,pathfinder_1,pathfinder_2,pathfinder_3,pathfinder_4,bfs_1,bfs_2,bfs_3,bfs_4,cfd_1,cfd_2,cfd_3,cfd_4,kmeans_1,kmeans_2,kmeans_3,kmeans_4,lavamd_1,lavamd_2,lavamd_3,lavamd_4,nw_1,nw_2,nw_3,nw_4,srad_1,srad_2,srad_3,srad_4
cf_fu_utilization,1,1,1,1,1,1,1,1,1,1,n/a,n/a,1,1,1,n/a,1,2,1,1,1,1,1,n/a,1,1,1,1,1,1,1,n/a,1,1,1,1
tex_fu_utilization,1,2,1,1,2,1,1,1,1,1,n/a,n/a,2,2,2,n/a,2,2,2,2,6,4,3,n/a,1,1,1,1,1,1,1,n/a,2,2,2,2
ldst_fu_utilization,2,2,2,2,4,4,4,4,1,1,n/a,n/a,1,1,1,n/a,1,1,1,1,1,1,1,n/a,1,1,1,1,1,1,1,n/a,1,1,1,1
double_precision_fu_utilization,8,9,9,10,0,0,0,0,0,0,n/a,n/a,0,0,0,n/a,0,0,0,0,0,0,0,n/a,8,10,10,10,0,0,0,n/a,5,7,8,8
special_fu_utilization,1,0,1,1,1,1,1,1,0,0,n/a,n/a,0,0,0,n/a,1,1,1,1,0,0,0,n/a,0,0,0,0,0,0,0,n/a,1,1,1,1
single_precision_fu_utilization,6,8,10,10,3,3,3,3,4,3,n/a,n/a,1,1,1,n/a,3,3,4,4,4,2,1,n/a,1,1,1,1,1,1,1,n/a,2,2,3,3
flop_count_dp,4210688,33685504,268959744,2148532224,0,0,0,0,0,0,n/a,n/a,0,0,0,n/a,0,0,0,0,0,0,0,n/a,520256,5537091072,4.3191e+1,3.5667e+1,0,0,0,n/a,49152,786432,50331648,201326592
flop_count_sp,34693120,268697600,2150678528,1.7193e+1,128,170,170,169,0,0,n/a,n/a,0,0,0,n/a,44066456,90752024,453672964,44116294,1500000,30000000,525000000,n/a,0,0,0,0,0,0,0,n/a,983040,19660787,1331688846,5347737540
dram_utilization,1,2,3,4,9,9,9,9,9,9,n/a,n/a,5,4,5,n/a,8,9,9,9,1,9,8,n/a,1,1,1,1,0,1,4,n/a,1,7,9,8
tex_utilization,2,2,2,2,2,2,2,2,1,2,n/a,n/a,1,1,1,n/a,1,2,2,2,4,4,3,n/a,1,1,n/a,n/a,1,1,1,n/a,1,2,2,1
shared_utilization,5,5,6,6,6,6,6,6,3,3,n/a,n/a,0,0,0,n/a,0,0,0,0,0,0,0,n/a,1,1,n/a,n/a,1,1,3,n/a,1,1,1,1
inst_fp_32,17850368,134483968,1075888128,8598519808,128,170,170,169,0,0,n/a,n/a,0,0,0,n/a,875593,8216820,9013477,36050389,1050000,20500000,355000000,n/a,10000,106480000,8305840000,6.8590e+1,0,0,0,n/a,749568,14991356,67108864,4010803184
inst_fp_64,2117632,16850944,134512640,1074806784,0,0,0,0,0,0,n/a,n/a,0,0,0,n/a,0,0,0,0,0,0,0,n/a,320256,3407491072,2.6580e+1,2.1949e+1,0,0,0,n/a,32768,524288,33554432,601620480
inst_integer,884736,6459392,34717696,70959104,4982272,9974275,8691646464,4655677440,216448780,2910166677,n/a,n/a,82133698,397411253,794785608,n/a,6211136,59364371,63942082,64002048,752720,9212000,450192768,n/a,38628,381551648,2.9741e+1,2.4558e+1,9801,102406,1020937,n/a,764800,18853448,754712576,5010263080
inst_bit_convert,24576,0,49152,196608,131776,350635,700499,1400230,0,0,n/a,n/a,0,0,0,n/a,97152,200064,1000128,4000128,0,0,0,n/a,10000,106480000,8305840000,6.8590e+1,0,0,0,n/a,86016,1720320,67108864,467927040
inst_control,98304,389120,2359296,2605056,8388608,67108864,67108864,6297600,5142464,78294720,n/a,n/a,11274753,55829823,111657978,n/a,97152,9392760,7990752,819227069,22544,602400,8016064,n/a,26724,276610528,2.1571e+1,1.7813e+1,3528,31752,315504,n/a,65536,5353988,67108864,268435456
inst_compute_ld_st,2826240,6356992,84492288,665124864,86880256,545259520,695042048,9454600,29995991,485764307,n/a,n/a,16573270,78666239,157321407,n/a,680064,9202879,7000896,64002048,200000,4000000,70000000,n/a,32884,342769824,2.6732e+1,2.2075e+1,8295,74655,741810,n/a,315392,5437440,366475264,1471150080
inst_misc,565248,1257472,8699904,55443456,67633152,4725504,9448704,9450500,44574903,617143689,n/a,n/a,40250455,195185372,390354788,n/a,971520,9992520,49953752,79969735,552720,6912000,89080320,n/a,42508,442813536,3.4534e+1,2.8518e+1,3864,36270,365625,n/a,428575,8196307,548740403,2138450460
inst_inter_thread_communication,0,0,0,0,0,0,0,0,0,0,n/a,n/a,0,0,0,n/a,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,n/a,0,0,0,0
l2_utilization,2,2,2,2,2,2,2,2,2,2,n/a,n/a,1,1,1,n/a,2,2,2,2,3,2,2,n/a,1,1,n/a,n/a,1,1,1,n/a,1,2,2,1
sysmem_utilization,1,1,1,1,1,1,1,1,1,1,n/a,n/a,1,1,1,n/a,1,1,1,1,1,1,1,n/a,1,1,1,1,1,1,1,n/a,1,1,1,1
