metric,bfs_1,bfs_2,bfs_3,bfs_4,sort_1,sort_2,sort_3,sort_4,pathfinder_1,pathfinder_2,pathfinder_3,pathfinder_4
cf_fu_utilization,1,1,1,1,1,n/a,n/a,n/a,1,1,1,2
tex_fu_utilization,2,2,2,2,5,n/a,n/a,n/a,2,2,2,2
ldst_fu_utilization,1,1,1,1,3,n/a,n/a,n/a,2,3,3,3
double_precision_fu_utilization,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0
special_fu_utilization,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0
half_precision_fu_utilization,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0
single_precision_fu_utilization,1,1,1,1,3,n/a,n/a,n/a,5,5,5,5
flop_count_dp,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0
flop_count_sp,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0
dram_utilization,2,2,2,2,8,n/a,n/a,n/a,6,6,6,5
tex_utilization,1,2,2,2,3,n/a,n/a,n/a,2,2,2,2
shared_utilization,0,0,0,0,3,n/a,n/a,n/a,1,2,2,2
inst_fp_32,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0
inst_fp_64,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0
inst_integer,81063093,392795921,785557446,1560569693,778531320,n/a,n/a,n/a,305877984,988813433,3513359523,1.0052e+1
inst_bit_convert,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0
inst_control,12627018,61659166,123313572,245386029,6144,n/a,n/a,n/a,26426800,104406341,420001500,1295233985
inst_compute_ld_st,16573270,78666239,157321407,311102543,504722362,n/a,n/a,n/a,59913280,238450279,957186714,2913410275
inst_misc,91607514,452711194,905407632,1806329946,56728514,n/a,n/a,n/a,110782528,341966350,1175543137,3301794571
inst_inter_thread_communication,0,0,0,0,896,n/a,n/a,n/a,0,0,0,0
l2_utilization,1,1,1,1,2,n/a,n/a,n/a,2,2,2,2
sysmem_utilization,1,1,1,1,1,n/a,n/a,n/a,1,1,1,1
