metric,devicememory_1,devicememory_2,devicememory_3,devicememory_4,maxflops_1,maxflops_2,maxflops_3,maxflops_4,bfs_1,bfs_2,bfs_3,bfs_4,gemm_1,gemm_2,gemm_3,gemm_4,sort_1,sort_2,sort_3,sort_4,pathfinder_1,pathfinder_2,pathfinder_3,pathfinder_4,cfd_1,cfd_2,cfd_3,cfd_4,dwt2d_1,dwt2d_2,dwt2d_3,dwt2d_4,kmeans_1,kmeans_2,kmeans_3,kmeans_4,lavamd_1,lavamd_2,lavamd_3,lavamd_4,mandelbrot_1,mandelbrot_2,mandelbrot_3,mandelbrot_4,nw_1,nw_2,nw_3,nw_4,particlefilter_float_1,particlefilter_float_2,particlefilter_float_3,particlefilter_float_4,particlefilter_naive_1,particlefilter_naive_2,particlefilter_naive_3,particlefilter_naive_4,srad_1,srad_2,srad_3,srad_4,where_1,where_2,where_3,where_4
flop_count_dp,0,n/a,n/a,n/a,2042626048,n/a,n/a,n/a,0,0,0,0,4210688,113541120,26.846,90.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520256,5537091072,35.667,35.667,0,0,0,n/a,0,0,0,n/a,144703,721504,721499266,1442998496,0,0,0,0,196608,3932160,266338304,4286578688,0,0,0,0
flop_count_sp,157286400,n/a,n/a,n/a,2267545600,n/a,n/a,n/a,0,0,0,0,34693120,908328960,21.478,72.485,0,170,169,168,0,0,0,0,56339009,115697148,2266955944,3399798731,58542,939837,1711275822,6845103918,1500000,30000000,1050000000,1500000000,0,0,0,0,3135652179,14.087,19.735,n/a,0,0,0,n/a,14800,74000,74000000,148000000,0,0,0,0,983040,19660798,1331691453,1879048192,0,0,0,0
inst_fp_32,157319168,n/a,n/a,n/a,1711276032,n/a,n/a,n/a,0,0,0,0,17850368,454772736,10.74,36.244,0,170,169,168,0,0,0,0,43119590,88656992,2199300379,3298665563,62152,995276,1811939272,7247757256,1050000,20500000,710000000,1010000000,10000,106480000,68.59,68.59,2944323370,13.782,19.613,n/a,0,0,0,n/a,30300,151500,151500000,303000000,0,0,0,0,749568,14991359,1015414766,1073741824,0,0,0,0
inst_fp_64,0,n/a,n/a,n/a,1711276032,n/a,n/a,n/a,0,0,0,0,2117632,56788992,13.424,45.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320256,3407491072,21.949,21.949,0,0,0,n/a,0,0,0,n/a,92307,459507,459499256,918998495,8100,135931,12.541,50.195,110592,2211840,149815296,2411200512,0,0,0,0
inst_integer,830622924,n/a,n/a,n/a,115343360,n/a,n/a,n/a,81063093,392795921,1560569693,3082984513,2064384,173693286,5128601600,86.129,2172911616,4345823232,4655677440,9311354880,1038308,3580655,13355974,33572536,23522027,48582964,9745369523,3048564959,87692,1400962,2550136972,773327189,2380528,27028800,900333312,1170333312,38628,381551648,24.558,24.558,774201788,32.537,44.348,n/a,11378,102406,612562,n/a,151311,660203,659683080,1319366171,42612,689706,62.706,25.098,1315440,24557761,1635896876,26.284,15096,152429,7900029721,8232230516
inst_bit_convert,255013683,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0,0,0,24576,0,4915200,11059200,262400,350635,1400230,2799692,0,0,0,0,97152,200064,40000128,60000000,6912,110592,201326592,805306368,0,0,0,0,10000,106480000,68.59,68.59,67108864,1073741824,4294967296,n/a,0,0,0,n/a,77300,386500,386500000,773000000,0,0,0,0,86016,1720320,116523008,1875378176,0,0,0,0
inst_control,31978291,n/a,n/a,n/a,4718592,n/a,n/a,n/a,12627018,61659166,245386029,486286690,98304,11936563,2123366400,7136870400,150994944,301989888,1207959552,2415919104,113523,435670,1731404,4569297,16525374,34145255,6852440137,2214905616,38086,608321,1107296326,4429185094,127632,3207200,84083328,124083328,26724,276610528,17.813,17.813,422166197,16.837,22.402,n/a,3580,32224,192324,n/a,37208,120605,116007616,232015232,8328,136943,12.541,50.195,331552,6565504,443724817,7139939415,3096,22160,1066766080,2133286752
inst_compute_ld_st,158944460,n/a,n/a,n/a,12582912,n/a,n/a,n/a,16573270,78666239,311102543,609390854,2826240,63675475,82.059,78.035,1409548288,2819096576,2181038080,4362076160,247331,964206,3854024,9900255,4468927,9202879,1840005823,2759999935,62270,451534,524570357,2056726661,1020000,20200000,694000000,1004000000,32884,342769824,22.075,22.075,16777216,268435456,1073741824,n/a,8295,74655,445560,n/a,53547,259547,259499919,518999838,8600,138431,12.541,50.195,315392,5437440,366475264,5895092224,6739,53571,2706142293,5411841610
inst_misc,182812672,n/a,n/a,n/a,23068672,n/a,n/a,n/a,91212993,451010831,1799758895,3584118888,561152,4737024,6419251200,7361740800,2751463424,5502926848,2172649472,4345298944,360290,1202741,4394247,10979390,16267024,33593435,6738089669,2369705190,66296,1059892,1929379896,7717519416,582720,7212000,184138880,214138880,43788,447361120,28.805,28.805,512930014,18.282,22.979,n/a,7952,72478,438375,n/a,68668,267514,267095052,534190110,912,4048,4000384,8000256,493568,8617007,578409793,9395393541,7713,60960,3000003072,6000002048
inst_inter_thread_communication,0,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,192,4128,369323456,737512960
