benchmark name,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,dram_utilization,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,nvlink_total_data_transmitted,nvlink_total_data_received,nvlink_user_data_transmitted,nvlink_user_data_received,nvlink_overhead_data_transmitted,nvlink_overhead_data_received,nvlink_total_nratom_data_transmitted,nvlink_user_nratom_data_transmitted,nvlink_total_ratom_data_transmitted,nvlink_user_ratom_data_transmitted,nvlink_total_write_data_transmitted,nvlink_user_write_data_transmitted,nvlink_transmit_throughput,nvlink_receive_throughput,nvlink_total_response_data_received,nvlink_user_response_data_received,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,issue_slot_utilization,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,shared_utilization,l2_utilization,tex_utilization,ldst_fu_utilization,cf_fu_utilization,tex_fu_utilization,special_fu_utilization,half_precision_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,sysmem_read_utilization,sysmem_write_utilization,pcie_total_data_transmitted,pcie_total_data_received,inst_executed_global_loads,inst_executed_local_loads,inst_executed_shared_loads,inst_executed_surface_loads,inst_executed_global_stores,inst_executed_local_stores,inst_executed_shared_stores,inst_executed_surface_stores,inst_executed_global_atomics,inst_executed_global_reductions,inst_executed_surface_atomics,inst_executed_surface_reductions,inst_executed_shared_atomics,inst_executed_tex_ops,l2_global_load_bytes,l2_local_load_bytes,l2_surface_load_bytes,dram_read_bytes,dram_write_bytes,l2_local_global_store_bytes,l2_global_reduction_bytes,l2_global_atomic_store_bytes,l2_surface_store_bytes,l2_surface_reduction_bytes,l2_surface_atomic_store_bytes,global_load_requests,local_load_requests,surface_load_requests,global_store_requests,local_store_requests,surface_store_requests,global_atomic_requests,global_reduction_requests,surface_atomic_requests,surface_reduction_requests,sysmem_read_bytes,sysmem_write_bytes,l2_tex_hit_rate,texture_load_requests,unique_warps_launched
bfs,17.000010,1.0,0.9999998499999999,0.94117633,0.000060,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0,0,0,0,52428873,8,1,6,13108144,3171,13107641,64577,9.5e-07,0.0,140.196090,6.645508,140.196090,95.147461,0.0,0.74999989,1.0999999999999999e-07,0.25,140.198347,705.936279,560.784359,140.196090,95.147461,140.206187,392.547852,16.790039,72.759766,0.000000,0.000000,0.000000,0.000000,1.0,0.06953125,52428820,0,0,0,0,0,0,0,0,0,222822533,222835894,3,1,0.03210731,0.15445224,0.71190157,0.0,0.0,0.09135547000000001,0.00026994,0.00167058,0.0,0,0,2936012871,0,419430402,419430429,2936012826,0,222835890,26214406,26214406,78643229,39321629,0,0.000000,0.000000,0,13107208,0.0008468000000000001,0.00815546,8,2304,1536,0,0,1.0,1.0,0,0,0,0,0,0,805.964844,537.309570,0,0,0,0,0,0,0,0.958234,0.958292,0.47914596000000004,0.99830409,0.698845,1.312251,0,1,3,2,1,3,0,0,0,0,0.0,0.0,0.0,1,1,14592,117504,13107220,0,0,0,8,0,0,0,0,0,0,0,0,0,419430656,0,0,419444528,2066480,272,0,0,0,0,0,52428820,0,0,8,0,0,0,0,0,0,48,208,2.3e-07,0,13107200
gemm,1102886.000000,1.0,1.0,0.9999175800000001,0.000008,1.999740,3.997927,0.000000,0.000000,62.886387,7.876923,1777766400,14166835200,0,0,28311552002,29491200,0,5,7076273835,29491220,4698199058,29527333,0.00074909,0.0,449.005639,2.494476,449.005639,2.494476,0.0,0.00456481,0.32860272,0.0,349.741701,2.501423,449.005639,448.698901,2.494476,448.638932,2.494479,0.000000,907.000000,0.000000,0.000000,2417.164468,599.546002,1.0,1.0,7077888000,906028646400,0,452984832000,58982400,7248476160000,0,3624118272000,239616000,3686400,127052467200,127052580229,6,1,0.02660235,0.14851509,0.10407676,4.2e-07,0.1377204,0.19435729,3.734e-05,0.3335967,0.47401431000000005,3624361574400,453044736000,100295884800,11059200,7136870400,276645888000,21521203200,0,116864522008,223142400,223142400,11101824000,9981619200,0,0.000000,0.000000,0,7076224608,0.00013502,0.6424791500000001,29491200,576,384,0,0,1.0,1.0,0,0,0,0,0,0,823.000000,548.000000,0,0,0,0,0,0,0,2.160502,2.160507,0.99613641,0.99808052,0.249820,10.985311,3,2,2,2,1,1,1,0,0,10,0.0,0.97089336,0.9621736300000001,0,1,113049,3686,671385600,0,7087910400,0,7372800,0,1993190400,0,0,0,0,0,0,0,226441727180,0,0,150342369862,944874656,943718400,0,0,0,0,0,1769472000,0,0,29491200,0,0,0,0,0,0,0,160,0.32724297999999996,0,115200
pathfinder,1457.826087,1.0,1.0,0.9482716000000001,0.003454,0.990352,0.991275,0.000000,0.000000,15.231925,4.000000,93386,186408,0,0,739906,5120,0,5,183616,5140,163891,62102,0.0,0.0,130.646535,3.696209,132.485976,3.696209,0.0,0.49611078,0.10723627000000001,0.04162086,118.315866,44.833052,133.537086,132.485976,3.696209,132.555976,3.710647,0.000000,3.696185,0.000000,0.000000,538.283476,269.667292,0.98611595,1.0,184976,0,0,0,0,0,0,0,0,0,2145920,2153334,3,1,0.06292891,0.10524428999999999,0.37754601,0.0,0.19155338,0.22500623,0.01129281,0.01020153,0.9394983499999999,0,0,33667552,0,4569088,9900512,7936160,0,2006133,285376,285376,663888,617856,0,0.000000,0.000000,0,183520,2.2309999999999998e-05,0.01620454,5120,576,384,0,0,1.0,1.0,0,0,0,0,0,0,13.306328,8.870877,0,0,0,0,0,0,0,0.717752,0.714876,0.33300382,0.8361000900000001,0.410031,1.068106,1,1,1,2,1,1,0,0,0,0,0.0,0.0,0.0,0,1,192,78,48576,0,188224,0,1280,0,94208,0,0,0,0,0,0,0,5872640,0,0,5244528,1987292,163840,0,0,0,0,0,184976,0,0,5120,0,0,0,0,0,0,0,160,0.10545536,0,1472
sort,1004.000000,1.0,1.0,0.99010209,0.011883,1.000000,1.402778,0.000000,0.000000,64.000000,16.000000,423624704,402653184,0,0,553648130,134217728,0,5,151895008,134217752,138412662,134216508,0.0080643,0.0,253.218530,245.545241,280.075041,245.545241,0.0,0.49917341,0.66666667,1.0,253.219683,245.536334,253.218530,277.914470,245.545241,277.885023,245.545285,0.000000,14.540039,0.000000,0.000000,1034.654480,1088.542734,1.0,1.0,138412032,0,0,0,0,168,168,0,0,0,4211081216,4211124612,8,1,0.10173966999999999,0.23713482,0.60483467,0.09835101,0.25702167,0.60244073,0.06783164,0.00384651,1.0,168,0,30471618560,2799692,11811160064,22552772608,34762391552,0,4123044152,729808896,729808896,1585446912,1786773504,0,0.000000,0.000000,0,151911104,0.18444945000000001,0.00937587,134217728,576,384,0,0,1.0,1.0,0,0,0,0,0,0,52.347656,34.897461,0,0,0,0,0,0,0,1.091462,1.091464,0.53431736,0.9998566099999999,0.957901,1.618074,3,2,2,4,2,2,1,0,0,0,0.0,1.9e-06,0.0,0,1,7680,512,33554432,0,402653184,0,33554432,0,301989888,0,0,0,0,0,0,0,4860243584,0,0,4429205184,4294928256,4294967296,0,0,0,0,0,71303168,0,0,134217728,0,0,0,0,0,0,0,160,0.7505794,0,8388608
cfd,1198.581937,1.0,1.0,1.0,0.000566,0.000000,0.000000,0.000000,0.000000,16.000000,4.000000,0,0,0,0,1230000002,37500000,0,5,318006534,37500021,157610478,37528698,0.17871338,0.0,362.666908,546.010439,494.056151,546.010439,0.0,0.6103693299999999,0.50438356,0.0,661.592773,545.860750,392.350357,405.751773,546.010439,405.756024,546.010745,0.000000,76.336914,0.000000,0.000000,0.000000,0.000000,1.0,1.0,307500000,0,0,0,0,34587748562,5679814698,12487415521,3933102820,900024721,2247341131,2247378877,8,1,0.14598279,0.11268402999999999,0.94773732,0.19975489,0.0,0.4569379,0.00029082,0.0036612299999999997,0.0,26540122917,0,14619135071,60000000,10279530204,2759999935,9612001009,0,1919100513,429006562,429006562,348750000,90000000,0,0.000000,0.000000,0,318003202,0.35733950999999997,0.01936032,37500000,576,384,0,0,1.0,1.0,0,0,0,0,0,0,274.814453,183.208984,0,0,0,0,0,0,0,1.326818,1.326613,0.53864353,0.9995925200000001,0.913286,1.516202,0,2,2,1,2,3,1,0,4,0,0.0,0.14046602,0.0,0,1,4010,290,76875000,0,0,0,9375000,0,0,0,0,0,0,0,0,0,10176246279,0,0,5043535321,1200918361,1200000000,0,0,0,0,0,307500000,0,0,37500000,0,0,0,0,0,0,0,160,0.45117621,0,1875000
dwt2d,28802.760489,1.0,0.9839633000000001,0.9081321800000001,0.000150,1.000000,1.000000,0.000000,0.000000,16.000000,4.000000,22865921,34374340,0,0,100663298,100663296,0,5,25167040,100663316,25165899,100655043,0.01561967,0.0,216.279778,211.324887,226.524986,211.324887,0.0,0.5,0.047623410000000005,0.0,216.183845,211.307561,226.061276,224.304902,211.324887,224.291385,211.324929,0.000000,72.824219,0.000000,0.000000,1909.903715,1270.474065,1.0,1.0,25165824,0,0,0,0,6845103918,1207959538,2818572190,242649512,402653170,1639972864,1640021290,6,1,0.0679101,0.1227083,0.30829806000000004,0.00127917,0.35280768,0.66315165,0.00095201,0.00395553,0.9907054700000001,7247757256,0,9999220876,805306368,4697620550,2056726661,6710886484,0,1447080785,358612992,358612992,190840832,104857600,0,0.000000,0.000000,0,25165824,0.0016142200000000002,0.02430539,100663296,576,384,0,0,1.0,1.0,0,0,0,0,0,0,262.172852,174.781250,0,0,0,0,0,0,0,1.393981,1.394022,0.61501127,0.9996357100000001,0.953014,1.762623,3,2,1,5,3,2,1,0,4,0,0.0,0.08293148,0.0,0,1,739,56,6291456,0,39827130,0,25165824,0,25202831,0,0,0,0,0,0,0,805306368,0,0,805308768,3220961376,3221225472,0,0,0,0,0,25165824,0,0,100663296,0,0,0,0,0,0,0,160,0.025191469999999997,0,8388608
gups,7872.263114,1.0,1.0,0.9862069,0.000927,0.000000,0.000000,0.000000,0.000000,32.000061,8.000000,0,0,43,37,4243458,262144,0,5,9118947,4940162,3780706,3753640,0.00061448,0.0,308.684658,479.088735,308.684658,479.088735,1.845e-05,0.54266877,0.23726977000000002,0.87727273,296.641971,447.115249,308.684658,308.684658,510.188477,538.974768,479.127114,0.000000,60.735352,522.335938,449.452148,0.000000,0.000000,1.0,1.0,3919377,0,0,0,0,0,0,0,0,229376,28237311,28317097,7,1,0.03373863,0.45303638,0.90945176,0.00056248,0.0,0.45147844,0.00439545,0.00077489,0.0,229376,0,420711971,74088320,16527270,9009064,40181839,0,25276969,1092502,1092502,3392012,619925,3486589,7.199321,57.050642,9849357,4172560,0.06938123,0.005782890000000001,262144,576,384,0,0,1.0,1.0,0,0,0,0,0,0,218.651367,145.767578,0,0,0,0,0,0,0,0.471002,0.470859,0.20148696000000002,0.81670399,0.433778,0.455807,0,2,2,1,1,3,1,0,0,0,0.0,0.0,0.0,0,1,512,256,132608,0,0,0,32768,0,0,0,484453,0,0,0,0,0,133519600,1280,0,120982608,120116480,8388608,0,157767856,0,0,0,530432,39,0,262144,43,0,2855013,0,0,0,0,160,0.2372774,0,3584
kmeans,1793.371418,1.0,1.0,0.9708515400000001,0.000741,0.000000,0.000000,0.000000,0.000000,15.686275,4.000000,0,0,0,0,50000002,12500000,0,5,99982104,12500020,99012308,12541687,0.00019474000000000002,0.0,33.842026,33.842026,270.736209,33.842026,0.0,0.50167225,0.00921145,0.0,498.598839,33.954888,1001.956517,499.299203,33.842026,499.298229,33.842080,0.000000,41.856445,0.000000,0.000000,0.000000,0.000000,0.125,1.0,125500000,0,0,0,0,1500000000,500000000,500000000,0,0,113642360,113658342,8,1,0.00472294,0.0393402,0.9150637399999999,0.14913785000000002,0.0,0.46811525000000004,7.283e-05,5.3020000000000004e-05,0.0,1010000000,0,1170333312,0,124083328,1004000000,222138880,0,108841657,21565104,21565104,141877604,31877604,0,0.000000,0.000000,0,99978601,0.005328349999999999,0.00107759,12500000,576,384,0,0,1.0,1.0,0,0,0,0,0,0,150.686523,100.457031,0,0,0,0,0,0,0,0.367147,0.367342,0.17588705000000002,0.9927155500000001,0.971202,0.418179,0,2,5,1,1,5,0,0,2,0,0.0,0.03758421,0.0,0,1,0,256,3187500,0,0,0,3187500,0,0,0,0,0,0,0,0,15687500,3199349568,0,0,3168393856,401333984,400000000,0,0,0,0,0,12500000,0,0,12500000,0,0,0,0,0,0,0,160,0.008187489999999999,125500000,63368
lavamd,121966.774811,1.0,0.78300396,0.7819222299999999,0.000049,2.039683,5.374744,0.000000,0.000000,23.261756,25.000000,453656064,14102104000,0,0,7780473122,2743600000,0,5,1561121507,2743600019,167855008,32441546,0.7329997500000001,0.0,37.222776,16.159856,137.753156,64.639426,0.0,0.51192197,0.8923741900000001,0.99933906,3.954677,782.669108,45.827135,36.784548,64.639426,36.780142,64.639426,0.000000,125.000000,0.000000,0.000000,1328.986592,42.752686,0.2702136,0.25,1945118280,3566747108864,480163554432,1371800000000,342983554432,0,0,0,0,0,127891432864,127897667797,1,1,0.09144492,0.06611023,0.01072524,0.0,0.03011208,0.6764936899999999,0.00011298,0.07091158,0.0858593,68590000000,2194947108864,245581082784,68590000000,179917439328,186453844832,250589093984,0,119330291152,7366479488,7366479488,8954535248,7639790912,0,0.000000,0.000000,0,1561308504,3.2e-07,0.054088960000000005,2743600000,2304,1536,0,0,1.0,1.0,0,0,0,0,0,0,1.777344,1.184570,0,0,0,0,0,0,0,1.212642,1.212701,0.56573356,0.99975606,0.499873,2.800721,2,1,1,1,1,1,0,0,1,9,0.0,0.0,0.52829637,0,1,287744,93696,334474880,0,6913872000,0,109744000,0,84405152,0,0,0,0,0,0,0,49957124800,0,0,5371360256,1038129472,87795200000,0,0,0,0,0,1128983792,0,0,685900000,0,0,0,0,0,0,0,160,0.9605603600000001,0,1048576
mandelbrot,5693.684838,0.9999988000000001,0.9793726100000001,0.90968345,0.011847,1.000000,0.633447,2.956137,2.375423,14.158972,4.381165,865664,1332544,21064820,21587977,20520839,149560701,0,48983,31387735,178167246,7515673,159019137,0.20229306000000002,0.42848171,0.000000,26.462364,0.000000,29.462077,0.18026138,0.5,0.81921414,0.11255422,692.933594,31.325302,3.960905,3.068229,33.705093,629.565430,35.097302,0.000000,101.000000,4.149575,4.252632,1.049995,698.481930,0.0,1.0,20107061,0,0,0,0,3842451387321,1694648793688,439600747461,1268601098711,2147418112,191048360722,191057213159,1,1,0.07430462,0.08980284,0.0035857,0.00023341,0.12722898000000002,0.82073557,0.02528537,0.00585937,0.44512803,3830235750141,0,858801973130,4294967296,431680208649,1153533022,435306369989,0,177172197453,27367293654,27367293654,352879898,239619670,3015931,1.196194,549.563819,5448818,15575494,0.0005958900000000001,0.03428241,171099861,7922688,5281792,0,0,1.0,1.0,0,0,0,0,0,0,612.000000,407.000000,0,0,0,0,0,0,0,1.830314,1.830378,0.8486778700000001,0.99995671,0.859319,3.522792,1,1,1,1,2,1,1,0,9,0,0.0,0.2875821,0.0,0,1,9108480,18326528,1449317,7125793,1332544,0,34137199,9076730,1366592,0,1527068,994204,0,0,0,0,112344064,387228480,0,240501536,5088612384,5476757696,36557632,62651904,0,0,0,3685783,13163009,0,149620420,21579348,0,1749165,1063875,0,0,0,1567456,0.17148181,0,34341960
