==30700== NVPROF is profiling process 30700, command: ./bfs -s 4 -n 1
==30700== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==30700== Profiling application: ./bfs -s 4 -n 1
==30700== Profiling result:
==30700== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"inst_per_warp","Instructions per warp",17.000006,17.000119,17.000045
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"warp_execution_efficiency","Warp Execution Efficiency",99.999321%,99.999966%,99.999743%
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.117009%,94.117615%,94.117405%
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"inst_replay_overhead","Instruction Replay Overhead",0.000044,0.000050,0.000046
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"gld_transactions_per_request","Global Load Transactions Per Request",3.999990,4.000000,3.999996
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"gld_transactions","Global Load Transactions",52428844,52429653,52429124
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"gst_transactions","Global Store Transactions",5,101,38
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"sysmem_read_transactions","System Memory Read Transactions",1,195,53
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"sysmem_write_transactions","System Memory Write Transactions",6,17,10
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"l2_read_transactions","L2 Read Transactions",13107674,13306462,13157719
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"l2_write_transactions","L2 Write Transactions",2120,23183,10542
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"dram_read_transactions","Device Memory Read Transactions",13107521,13304962,13157233
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"dram_write_transactions","Device Memory Write Transactions",44348,83493,65415
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000053%,0.001167%,0.000444%
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"gld_requested_throughput","Requested Global Load Throughput",136.616785GB/s,140.065352GB/s,138.565946GB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"gst_requested_throughput","Requested Global Store Throughput",3.851562KB/s,79.585938KB/s,30.136719KB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"gld_throughput","Global Load Throughput",136.617054GB/s,140.065466GB/s,138.566820GB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"gst_throughput","Global Store Throughput",56.025391KB/s,1.092156MB/s,424.010742KB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"tex_cache_hit_rate","Unified Cache Hit Rate",74.999797%,74.999989%,74.999924%
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000008%,0.000069%,0.000032%
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",14.285714%,25.000000%,18.534300%
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"dram_read_throughput","Device Memory Read Throughput",138.424471GB/s,140.068768GB/s,139.094780GB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"dram_write_throughput","Device Memory Write Throughput",473.334352MB/s,902.845784MB/s,708.147218MB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"tex_cache_throughput","Unified Cache Throughput",546.467310GB/s,560.261481GB/s,554.264339GB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",136.616867GB/s,140.065392GB/s,138.566204GB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",56.025391KB/s,1.092156MB/s,424.010742KB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"l2_read_throughput","L2 Throughput (Reads)",138.427470GB/s,140.070403GB/s,139.099916GB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"l2_write_throughput","L2 Throughput (Writes)",23.198321MB/s,250.687768MB/s,114.121959MB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"sysmem_read_throughput","System Memory Read Throughput",11.205078KB/s,2.081270MB/s,595.832031KB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"sysmem_write_throughput","System Memory Write Throughput",67.230469KB/s,188.239258KB/s,119.165039KB/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","Kernel(Node*, int*, bool*, bool*, bool*, int*, int)",4,"gld_efficiency","Global Memory Load Efficiency",99.998334%,99.999918%,99.999369%
