==43794== NVPROF is profiling process 43794, command: ./gemm -s 1 -n 1
==43794== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==43794== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==43794== Profiling application: ./gemm -s 1 -n 1
==43794== Profiling result:
==43794== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"inst_per_warp","Instructions per warp",2829.000000,2829.000000,2829.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.232591%,98.232591%,98.232591%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"inst_replay_overhead","Instruction Replay Overhead",0.001060,0.001060,0.001060
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.629630,1.629630,1.629630
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.698113,3.698113,3.698113
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",5,"gld_transactions_per_request","Global Load Transactions Per Request",42.666829,42.666829,42.666829
