==1425== NVPROF is profiling process 1425, command: ./pathfinder -s 4 -n 1 -d 1
==1425== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==1425== Some kernel(s) will be replayed on device 1 in order to collect all events/metrics.
==1425== Profiling application: ./pathfinder -s 4 -n 1 -d 1
==1425== Profiling result:
==1425== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"inst_per_warp","Instructions per warp",1457.826087,1457.826087,1457.826087
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.827160%,94.827160%,94.827160%
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"inst_replay_overhead","Instruction Replay Overhead",0.003412,0.004144,0.003450
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.990352,0.990352,0.990352
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.991275,0.991275,0.991275
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"gld_transactions_per_request","Global Load Transactions Per Request",15.231925,15.231925,15.231925
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"shared_store_transactions","Shared Store Transactions",93386,93386,93386
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"shared_load_transactions","Shared Load Transactions",186408,186408,186408
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"gld_transactions","Global Load Transactions",739906,739906,739906
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"gst_transactions","Global Store Transactions",5120,5120,5120
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"l2_read_transactions","L2 Read Transactions",183616,184224,183685
"Tesla P100-SXM2-16GB (1)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1270,"l2_write_transactions","L2 Write Transactions",5140,5198,5157
