==33263== NVPROF is profiling process 33263, command: ./sort -s 4 -n 1
==33263== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==33263== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==33263== Profiling application: ./sort -s 4 -n 1
==33263== Profiling result:
==33263== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_per_warp","Instructions per warp",95.375000,95.375000,95.375000
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"warp_execution_efficiency","Warp Execution Efficiency",99.221822%,99.221822%,99.221822%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",71.363041%,71.731651%,71.464409%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_replay_overhead","Instruction Replay Overhead",0.000031,0.000036,0.000034
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.647619,0.790476,0.686905
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.321429,0.857143,0.468750
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gld_transactions_per_request","Global Load Transactions Per Request",32.000000,32.000000,32.000000
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_store_transactions","Shared Store Transactions",18874368,50331648,27525120
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_load_transactions","Shared Load Transactions",71303168,87031808,75628544
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gld_transactions","Global Load Transactions",268435458,268435458,268435458
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gst_transactions","Global Store Transactions",18874368,18874368,18874368
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_read_transactions","L2 Read Transactions",67109344,67110328,67109501
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_write_transactions","L2 Write Transactions",18874392,18874393,18874392
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"dram_read_transactions","Device Memory Read Transactions",67108879,67109223,67108970
