==463== NVPROF is profiling process 463, command: ./sort -s 1 -n 1
==463== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==463== Profiling application: ./sort -s 1 -n 1
==463== Profiling result:
==463== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_per_warp","Instructions per warp",86.375000,86.375000,86.375000
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"warp_execution_efficiency","Warp Execution Efficiency",99.140738%,99.140738%,99.140738%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",68.379161%,68.786179%,68.491091%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_replay_overhead","Instruction Replay Overhead",0.000087,0.000175,0.000118
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.647619,0.790476,0.686905
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.321429,0.857143,0.468750
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gld_transactions_per_request","Global Load Transactions Per Request",32.000004,32.000004,32.000004
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_store_transactions","Shared Store Transactions",1179648,3145728,1720320
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_load_transactions","Shared Load Transactions",4456448,5439488,4726784
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gld_transactions","Global Load Transactions",16777218,16777218,16777218
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gst_transactions","Global Store Transactions",1179648,1179648,1179648
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_read_transactions","L2 Read Transactions",4194400,4194688,4194544
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_write_transactions","L2 Write Transactions",1179668,1179668,1179668
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"dram_read_transactions","Device Memory Read Transactions",4194339,4194595,4194386
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"dram_write_transactions","Device Memory Write Transactions",311208,313632,312706
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gld_requested_throughput","Requested Global Load Throughput",325.476758GB/s,327.251688GB/s,326.765457GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gst_requested_throughput","Requested Global Store Throughput",20.342297GB/s,20.453230GB/s,20.422841GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gld_throughput","Global Load Throughput",325.476758GB/s,327.251688GB/s,326.765457GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gst_throughput","Global Store Throughput",91.540338GB/s,92.039537GB/s,91.902785GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"tex_cache_hit_rate","Unified Cache Hit Rate",2.380952%,2.380952%,2.380952%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",91.666667%,91.666667%,91.666667%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"dram_read_throughput","Device Memory Read Throughput",325.481337GB/s,327.254419GB/s,326.771845GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"dram_write_throughput","Device Memory Write Throughput",24.274037GB/s,24.454019GB/s,24.361982GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"tex_cache_throughput","Unified Cache Throughput",325.476758GB/s,327.251688GB/s,326.765457GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",325.476758GB/s,327.251688GB/s,326.765457GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",91.540338GB/s,92.039537GB/s,91.902785GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_read_throughput","L2 Throughput (Reads)",325.484208GB/s,327.281649GB/s,326.784154GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"l2_write_throughput","L2 Throughput (Writes)",91.541890GB/s,92.041098GB/s,91.904343GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"sysmem_write_throughput","System Memory Write Throughput",406.845703KB/s,409.064453KB/s,408.454102KB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_load_throughput","Shared Memory Load Throughput",1383.276223GB/s,1693.875339GB/s,1472.997410GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_store_throughput","Shared Memory Store Throughput",366.161353GB/s,979.590557GB/s,536.099577GB/s
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"gst_efficiency","Global Memory Store Efficiency",22.222222%,22.222222%,22.222222%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"tex_cache_transactions","Unified Cache Transactions",4194304,4194304,4194304
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_executed","Instructions Executed",45285376,45285376,45285376
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_issued","Instructions Issued",45289373,45293284,45291536
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"dram_utilization","Device Memory Utilization","Mid (6)","Mid (6)","Mid (6)"
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.669159%,2.777194%,2.700982%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",13.700520%,13.951026%,13.869685%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"stall_memory_dependency","Issue Stall Reasons (Data Request)",20.576204%,21.047361%,20.841047%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"stall_sync","Issue Stall Reasons (Synchronization)",17.951490%,18.287071%,18.164955%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"stall_other","Issue Stall Reasons (Other)",41.256450%,42.098851%,41.422149%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.082942%,0.084907%,0.084232%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.638978%,0.647169%,0.645028%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"shared_efficiency","Shared Memory Efficiency",63.263359%,94.731105%,85.779359%
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_fp_32","FP Instructions(Single)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_integer","Integer Instructions",413204480,416153600,414015488
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_control","Control-Flow Instructions",83886080,83886080,83886080
"Tesla P100-SXM2-16GB (0)","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)",8,"inst_compute_ld_st","Load/Store Instructions",240058368,243007488,240869376
