==4720== NVPROF is profiling process 4720, command: ./cfd -s 4 -n 1
==4720== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4720== Profiling application: ./cfd -s 4 -n 1
==4720== Profiling result:
==4720== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_per_warp","Instructions per warp",31.000000,31.000000,31.000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_replay_overhead","Instruction Replay Overhead",0.000467,0.000473,0.000471
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_transactions","Global Load Transactions",2,2,2
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gst_transactions","Global Store Transactions",37500000,37500000,37500000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_read_transactions","L2 Read Transactions",336,344,338
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_write_transactions","L2 Write Transactions",37500021,37500021,37500021
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"dram_read_transactions","Device Memory Read Transactions",18,18,18
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"dram_write_transactions","Device Memory Write Transactions",37489826,37491202,37490675
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gst_requested_throughput","Requested Global Store Throughput",543.685345GB/s,547.908252GB/s,545.201490GB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gst_throughput","Global Store Throughput",543.685345GB/s,547.908252GB/s,545.201490GB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"tex_cache_hit_rate","Unified Cache Hit Rate",50.000000%,50.000000%,50.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"dram_read_throughput","Device Memory Read Throughput",273.645508KB/s,275.770508KB/s,274.408203KB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"dram_write_throughput","Device Memory Write Throughput",543.557789GB/s,547.759600GB/s,545.065921GB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"tex_cache_throughput","Unified Cache Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",543.685345GB/s,547.908252GB/s,545.201490GB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_read_throughput","L2 Throughput (Reads)",4.988335MB/s,5.146772MB/s,5.041945MB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_write_throughput","L2 Throughput (Writes)",543.685649GB/s,547.908558GB/s,545.201795GB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"sysmem_write_throughput","System Memory Write Throughput",76.012695KB/s,76.602539KB/s,76.223633KB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"tex_cache_transactions","Unified Cache Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_executed","Instructions Executed",58125000,58125000,58125000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_issued","Instructions Issued",58152410,58159924,58154945
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"dram_utilization","Device Memory Utilization","High (8)","High (9)","High (8)"
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.309252%,0.312291%,0.310438%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",1.213362%,1.223161%,1.216637%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_memory_dependency","Issue Stall Reasons (Data Request)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_texture","Issue Stall Reasons (Texture)",19.439307%,19.470304%,19.452010%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_other","Issue Stall Reasons (Other)",42.796746%,42.860931%,42.829465%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.028057%,0.033964%,0.030101%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.031967%,0.032220%,0.032113%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_fp_32","FP Instructions(Single)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_integer","Integer Instructions",960000000,960000000,960000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_control","Control-Flow Instructions",60000000,60000000,60000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_compute_ld_st","Load/Store Instructions",300000000,300000000,300000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_misc","Misc Instructions",540000000,540000000,540000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"issue_slots","Issue Slots",48768593,48773378,48770201
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"cf_issued","Issued Control-Flow Instructions",1875000,1875000,1875000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"cf_executed","Executed Control-Flow Instructions",1875000,1875000,1875000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"ldst_issued","Issued Load/Store Instructions",41250000,41250000,41250000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"ldst_executed","Executed Load/Store Instructions",13125000,13125000,13125000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"atomic_transactions","Atomic Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",36.063037%,36.099623%,36.081148%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.047397%,0.048714%,0.048089%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",37500000,37500000,37500000
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_total_data_transmitted","NVLink Total Data Transmitted",576,576,576
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_total_data_received","NVLink Total Data Received",384,384,384
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_user_data_transmitted","NVLink User Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_user_data_received","NVLink User Data Received",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_overhead_data_transmitted","NVLink Overhead Data Transmitted",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_overhead_data_received","NVLink Overhead Data Received",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_total_nratom_data_transmitted","NVLink Total Nratom Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_user_nratom_data_transmitted","NVLink User Nratom Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_total_ratom_data_transmitted","NVLink Total Ratom Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_user_ratom_data_transmitted","NVLink User Ratom Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_total_write_data_transmitted","NVLink Total Write Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_user_write_data_transmitted","NVLink User Write Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_transmit_throughput","NVLink Transmit Throughput",273.645508KB/s,275.770508KB/s,274.408203KB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_receive_throughput","NVLink Receive Throughput",182.429688KB/s,183.846680KB/s,182.937500KB/s
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_total_response_data_received","NVLink Total Response Data Received",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"nvlink_user_response_data_received","NVLink User Response Data Received",0,0,0
"Tesla P100-SXM2-16GB (0)","cuda_initialize_variables(int, float*)",3,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
