==38703== NVPROF is profiling process 38703, command: ../darknet --test_type batchnorm --bidirection 0 -s 4
==38703== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==38703== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==38703== Profiling application: ../darknet --test_type batchnorm --bidirection 0 -s 4
==38703== Profiling result:
==38703== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"inst_per_warp","Instructions per warp",12.687500,22.987409,16.120803
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"warp_execution_efficiency","Warp Execution Efficiency",95.073892%,100.000000%,96.724138%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",95.043103%,95.654772%,95.246993%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"inst_replay_overhead","Instruction Replay Overhead",0.000088,0.157635,0.105126
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,4.000000,2.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gld_transactions","Global Load Transactions",2,2,2
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gst_transactions","Global Store Transactions",1,19267584,6422528
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"l2_read_transactions","L2 Read Transactions",16,96,42
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"l2_write_transactions","L2 Write Transactions",14,19267615,6422544
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"dram_read_transactions","Device Memory Read Transactions",24,244,39
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"dram_write_transactions","Device Memory Write Transactions",8,19256169,6418347
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gst_requested_throughput","Requested Global Store Throughput",4.452953MB/s,557.596790GB/s,554.914195GB/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gst_throughput","Global Store Throughput",11.874543MB/s,557.596790GB/s,554.914231GB/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"tex_cache_hit_rate","Unified Cache Hit Rate",0.000000%,50.000000%,16.666667%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"dram_read_throughput","Device Memory Read Throughput",849.635742KB/s,300.542418MB/s,3.533092MB/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"dram_write_throughput","Device Memory Write Throughput",99.567954MB/s,557.226028GB/s,554.552982GB/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"tex_cache_throughput","Unified Cache Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",11.874543MB/s,557.596790GB/s,554.914231GB/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"l2_read_throughput","L2 Throughput (Reads)",2.844497MB/s,200.361612MB/s,3.774923MB/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"l2_write_throughput","L2 Throughput (Writes)",166.243616MB/s,557.597368GB/s,554.915625GB/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"sysmem_write_throughput","System Memory Write Throughput",151.706055KB/s,62.613004MB/s,452.987305KB/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gst_efficiency","Global Memory Store Efficiency",37.500000%,100.000000%,58.333333%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"tex_cache_transactions","Unified Cache Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
