==37244== NVPROF is profiling process 37244, command: ../darknet --test_type batchnorm --bidirection 0 -s 1
==37244== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==37244== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==37244== Profiling application: ../darknet --test_type batchnorm --bidirection 0 -s 1
==37244== Profiling result:
==37244== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"inst_per_warp","Instructions per warp",12.687500,23.000000,16.125000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"warp_execution_efficiency","Warp Execution Efficiency",95.073892%,100.000000%,96.720033%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",95.043103%,95.652174%,95.246127%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"inst_replay_overhead","Instruction Replay Overhead",0.023971,0.157635,0.113094
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,4.000000,2.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",15,"shared_load_transactions","Shared Load Transactions",0,0,0
