==39129== NVPROF is profiling process 39129, command: ../darknet --test_type connected --bidirection -1 -s 4
==39129== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==39129== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==39129== Profiling application: ../darknet --test_type connected --bidirection -1 -s 4
==39129== Profiling result:
==39129== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_per_warp","Instructions per warp",18785.000000,18785.000000,18785.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.526218%,99.526218%,99.526218%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_replay_overhead","Instruction Replay Overhead",0.000023,0.000023,0.000023
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.931532,1.931532,1.931532
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.903614,3.903614,3.903614
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gld_transactions_per_request","Global Load Transactions Per Request",38.787881,38.787881,38.787881
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"shared_store_transactions","Shared Store Transactions",2654208,2654208,2654208
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"shared_load_transactions","Shared Load Transactions",17563648,17563648,17563648
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gld_transactions","Global Load Transactions",41943042,41943042,41943042
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"l2_read_transactions","L2 Read Transactions",10440208,10440208,10440208
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"l2_write_transactions","L2 Write Transactions",2097391,2097391,2097391
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"dram_read_transactions","Device Memory Read Transactions",4015991,4015991,4015991
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"dram_write_transactions","Device Memory Write Transactions",2091265,2091265,2091265
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"global_hit_rate","Global Hit Rate in unified l1/tex",0.430870%,0.430870%,0.430870%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gld_requested_throughput","Requested Global Load Throughput",310.794361GB/s,310.794361GB/s,310.794361GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gst_requested_throughput","Requested Global Store Throughput",62.158872GB/s,62.158872GB/s,62.158872GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gld_throughput","Global Load Throughput",310.794361GB/s,310.794361GB/s,310.794361GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gst_throughput","Global Store Throughput",62.158872GB/s,62.158872GB/s,62.158872GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"tex_cache_hit_rate","Unified Cache Hit Rate",25.281072%,25.281072%,25.281072%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",61.720127%,61.720127%,61.720127%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",99.600601%,99.600601%,99.600601%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"dram_read_throughput","Device Memory Read Throughput",119.032608GB/s,119.032608GB/s,119.032608GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"dram_write_throughput","Device Memory Write Throughput",61.984383GB/s,61.984383GB/s,61.984383GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"tex_cache_throughput","Unified Cache Throughput",310.794361GB/s,310.794361GB/s,310.794361GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",309.562655GB/s,309.562655GB/s,309.562655GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",62.158872GB/s,62.158872GB/s,62.158872GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"l2_read_throughput","L2 Throughput (Reads)",309.444215GB/s,309.444215GB/s,309.444215GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"l2_write_throughput","L2 Throughput (Writes)",62.165956GB/s,62.165956GB/s,62.165956GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"sysmem_write_throughput","System Memory Write Throughput",155.396484KB/s,155.396484KB/s,155.395508KB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"shared_load_throughput","Shared Memory Load Throughput",2082.322216GB/s,2082.322216GB/s,2082.322216GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"shared_store_throughput","Shared Memory Store Throughput",314.679290GB/s,314.679290GB/s,314.679290GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"tex_cache_transactions","Unified Cache Transactions",10485760,10485760,10485760
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"flop_count_sp","Floating Point Operations(Single Precision)",8641052672,8641052672,8641052672
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",4312006656,4312006656,4312006656
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",17039360,17039360,17039360
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",262144,262144,262144
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_executed","Instructions Executed",153886720,153886720,153886720
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_issued","Instructions Issued",153890085,153890085,153890085
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"dram_utilization","Device Memory Utilization","Low (3)","Low (3)","Low (3)"
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",3.518002%,3.518002%,3.518002%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",1.370055%,1.370055%,1.370055%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",11.536744%,11.536744%,11.536744%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"stall_texture","Issue Stall Reasons (Texture)",0.099311%,0.099311%,0.099311%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"stall_sync","Issue Stall Reasons (Synchronization)",11.261166%,11.261166%,11.261166%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"stall_other","Issue Stall Reasons (Other)",16.561612%,16.561612%,16.561612%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.032065%,0.032065%,0.032065%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.649146%,0.649146%,0.649146%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"shared_efficiency","Shared Memory Efficiency",46.763574%,46.763574%,46.763574%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_fp_32","FP Instructions(Single)",4329308160,4329308160,4329308160
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_integer","Integer Instructions",185597952,185597952,185597952
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_bit_convert","Bit-Convert Instructions",786432,786432,786432
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_control","Control-Flow Instructions",12582912,12582912,12582912
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_compute_ld_st","Load/Store Instructions",360972288,360972288,360972288
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_misc","Misc Instructions",11796480,11796480,11796480
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"issue_slots","Issue Slots",142953757,142953757,142953757
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"cf_issued","Issued Control-Flow Instructions",401408,401408,401408
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"cf_executed","Executed Control-Flow Instructions",401408,401408,401408
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"ldst_issued","Issued Load/Store Instructions",16367616,16367616,16367616
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"ldst_executed","Executed Load/Store Instructions",11681792,11681792,11681792
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"atomic_transactions","Atomic Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
