==37535== NVPROF is profiling process 37535, command: ../darknet --test_type connected --bidirection -1 -s 1
==37535== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==37535== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==37535== Profiling application: ../darknet --test_type connected --bidirection -1 -s 1
==37535== Profiling result:
==37535== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"inst_per_warp","Instructions per warp",729.000000,729.000000,729.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.238683%,94.238683%,94.238683%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"inst_replay_overhead","Instruction Replay Overhead",0.002701,0.002701,0.002701
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.230769,1.230769,1.230769
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.360000,3.360000,3.360000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"gld_transactions_per_request","Global Load Transactions Per Request",19.200098,19.200098,19.200098
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"shared_store_transactions","Shared Store Transactions",86016,86016,86016
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"shared_load_transactions","Shared Load Transactions",131072,131072,131072
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"gld_transactions","Global Load Transactions",393218,393218,393218
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"gst_transactions","Global Store Transactions",32768,32768,32768
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"l2_read_transactions","L2 Read Transactions",89608,89608,89608
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"l2_write_transactions","L2 Write Transactions",32781,32781,32781
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"dram_read_transactions","Device Memory Read Transactions",34942,34942,34942
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"dram_write_transactions","Device Memory Write Transactions",24823,24823,24823
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"global_hit_rate","Global Hit Rate in unified l1/tex",9.464518%,9.464518%,9.464518%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"gld_requested_throughput","Requested Global Load Throughput",243.531796GB/s,243.531796GB/s,243.531795GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"gst_requested_throughput","Requested Global Store Throughput",81.177265GB/s,81.177265GB/s,81.177265GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"gld_throughput","Global Load Throughput",243.531796GB/s,243.531796GB/s,243.531795GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"gst_throughput","Global Store Throughput",81.177265GB/s,81.177265GB/s,81.177265GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"tex_cache_hit_rate","Unified Cache Hit Rate",37.890625%,37.890625%,37.890625%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_TN_vec",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",61.294951%,61.294951%,61.294951%
