==37433== NVPROF is profiling process 37433, command: ../darknet --test_type connected --bidirection 0 -s 1
==37433== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==37433== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==37433== Profiling application: ../darknet --test_type connected --bidirection 0 -s 1
==37433== Profiling result:
==37433== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"inst_per_warp","Instructions per warp",5468.000000,5468.000000,5468.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.244331%,98.244331%,98.244331%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"inst_replay_overhead","Instruction Replay Overhead",0.000549,0.000549,0.000549
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.767442,1.767442,1.767442
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.121107,1.121107,1.121107
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"gld_transactions_per_request","Global Load Transactions Per Request",52.800391,52.800391,52.800391
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"shared_store_transactions","Shared Store Transactions",20736,20736,20736
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"shared_load_transactions","Shared Load Transactions",38912,38912,38912
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"gld_transactions","Global Load Transactions",270338,270338,270338
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"gst_transactions","Global Store Transactions",2048,2048,2048
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"l2_read_transactions","L2 Read Transactions",67632,67632,67632
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"l2_write_transactions","L2 Write Transactions",2061,2061,2061
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"dram_read_transactions","Device Memory Read Transactions",2054,2054,2054
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"dram_write_transactions","Device Memory Write Transactions",4385,4385,4385
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"gld_requested_throughput","Requested Global Load Throughput",158.271268GB/s,158.271268GB/s,158.271268GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"gst_requested_throughput","Requested Global Store Throughput",4.796099GB/s,4.796099GB/s,4.796099GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"gld_throughput","Global Load Throughput",158.271268GB/s,158.271268GB/s,158.271268GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"gst_throughput","Global Store Throughput",4.796099GB/s,4.796099GB/s,4.796099GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"tex_cache_hit_rate","Unified Cache Hit Rate",5.555556%,5.555556%,5.555556%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",96.969697%,96.969697%,96.969697%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",1,"dram_read_throughput","Device Memory Read Throughput",4.810150GB/s,4.810150GB/s,4.810150GB/s
