==25976== NVPROF is profiling process 25976, command: ../darknet --test_type convolution --bidirection 0 -s 1
==25976== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25976== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==25976== Profiling application: ../darknet --test_type convolution --bidirection 0 -s 1
==25976== Profiling result:
==25976== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"inst_per_warp","Instructions per warp",20811.000000,20811.000000,20811.000000
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.154388%,99.154388%,99.154388%
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"inst_replay_overhead","Instruction Replay Overhead",0.000419,0.000419,0.000419
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.905594,1.905594,1.905594
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.368794,1.368794,1.368794
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"gld_transactions_per_request","Global Load Transactions Per Request",15.031083,15.031083,15.031083
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"gst_transactions_per_request","Global Store Transactions Per Request",5.204838,5.204838,5.204838
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"shared_store_transactions","Shared Store Transactions",176016,176016,176016
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"shared_load_transactions","Shared Load Transactions",994080,994080,994080
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","maxwell_scudnn_128x128_relu_small_nn",1,"local_store_transactions","Local Store Transactions",0,0,0
