==27944== NVPROF is profiling process 27944, command: ../darknet --test_type dropout --bidirection -1 -s 4
==27944== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==27944== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==27944== Profiling application: ../darknet --test_type dropout --bidirection -1 -s 4
==27944== Profiling result:
==27944== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"inst_per_warp","Instructions per warp",265.285714,265.285714,265.285714
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",83.209015%,83.209015%,83.209015%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.005460,0.005460,0.005460
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.000031,8.000031,8.000031
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gld_transactions","Global Load Transactions",524290,524290,524290
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gst_transactions","Global Store Transactions",131072,131072,131072
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"l2_read_transactions","L2 Read Transactions",4768,4768,4768
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"l2_write_transactions","L2 Write Transactions",131312,131312,131312
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"dram_read_transactions","Device Memory Read Transactions",4329,4329,4329
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"dram_write_transactions","Device Memory Write Transactions",119763,119763,119763
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",87.500000%,87.500000%,87.500000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gld_requested_throughput","Requested Global Load Throughput",8.719308GB/s,8.719308GB/s,8.719308GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gst_requested_throughput","Requested Global Store Throughput",279.017857GB/s,279.017857GB/s,279.017857GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gld_throughput","Global Load Throughput",69.754464GB/s,69.754464GB/s,69.754464GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gst_throughput","Global Store Throughput",279.017857GB/s,279.017857GB/s,279.017857GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",65.625000%,65.625000%,65.625000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"dram_read_throughput","Device Memory Read Throughput",9.215304GB/s,9.215304GB/s,9.215304GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"dram_write_throughput","Device Memory Write Throughput",254.943967GB/s,254.943967GB/s,254.943967GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"tex_cache_throughput","Unified Cache Throughput",279.017857GB/s,279.017857GB/s,279.017857GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",8.719308GB/s,8.719308GB/s,8.719308GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",279.017857GB/s,279.017857GB/s,279.017857GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"l2_read_throughput","L2 Throughput (Reads)",10.149820GB/s,10.149820GB/s,10.149819GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"l2_write_throughput","L2 Throughput (Writes)",279.528754GB/s,279.528754GB/s,279.528754GB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"sysmem_write_throughput","System Memory Write Throughput",10.899135MB/s,10.899135MB/s,10.899067MB/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gld_efficiency","Global Memory Load Efficiency",12.500000%,12.500000%,12.500000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"tex_cache_transactions","Unified Cache Transactions",131072,131072,131072
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"flop_count_sp","Floating Point Operations(Single Precision)",688128,688128,688128
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",229376,229376,229376
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",229376,229376,229376
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",229376,229376,229376
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"inst_executed","Instructions Executed",950784,950784,950784
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"inst_issued","Instructions Issued",955975,955975,955975
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"dram_utilization","Device Memory Utilization","Mid (4)","Mid (4)","Mid (4)"
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",1.232266%,1.232266%,1.232266%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",9.046252%,9.046252%,9.046252%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",46.224712%,46.224712%,46.224712%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"stall_texture","Issue Stall Reasons (Texture)",1.168997%,1.168997%,1.168997%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"stall_other","Issue Stall Reasons (Other)",33.918021%,33.918021%,33.918021%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",3.984243%,3.984243%,3.984243%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>(float const *, cudnnTensorStruct, cudnn::detail::dropout_bp<float, float, int=-2, int=1, int=4>*, float const *, float, unsigned int*, int)",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",1.061116%,1.061116%,1.061116%
