==26107== NVPROF is profiling process 26107, command: ../darknet --test_type dropout --bidirection 0 -s 1
==26107== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==26107== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==26107== Profiling application: ../darknet --test_type dropout --bidirection 0 -s 1
==26107== Profiling result:
==26107== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"inst_per_warp","Instructions per warp",33091.064732,33091.064732,33091.064732
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"branch_efficiency","Branch Efficiency",95.999921%,95.999921%,95.999921%
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",79.007157%,79.007157%,79.007157%
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",50.016301%,50.016301%,50.016301%
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000174,0.000174,0.000174
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",10.761753,10.761753,10.761753
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",5.798246,5.798246,5.798246
"Tesla P100-SXM2-16GB (0)","cudnn::detail::initstates(__int64, curandStateXORWOW*, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",13.152613,13.152613,13.152613
