==28144== NVPROF is profiling process 28144, command: ../darknet --test_type rnn --bidirection -1 -s 4
==28144== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28144== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==28144== Profiling application: ../darknet --test_type rnn --bidirection -1 -s 4
==28144== Profiling result:
==28144== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"inst_per_warp","Instructions per warp",18884.000000,18884.000000,18884.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.528702%,99.528702%,99.528702%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"inst_replay_overhead","Instruction Replay Overhead",0.000009,0.000009,0.000009
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.931532,1.931532,1.931532
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.903614,3.903614,3.903614
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"gld_transactions_per_request","Global Load Transactions Per Request",38.787879,38.787879,38.787879
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_TN_vec",4,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
