==26320== NVPROF is profiling process 26320, command: ../darknet --test_type rnn --bidirection -1 -s 1
==26320== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==26320== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==26320== Profiling application: ../darknet --test_type rnn --bidirection -1 -s 1
==26320== Profiling result:
==26320== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"inst_per_warp","Instructions per warp",20289.000000,20289.000000,20289.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.403618%,99.403618%,99.403618%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"inst_replay_overhead","Instruction Replay Overhead",0.000148,0.000171,0.000157
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.928058,1.928058,1.928058
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.637181,1.637181,1.637181
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"gld_transactions_per_request","Global Load Transactions Per Request",60.235409,60.235409,60.235409
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"shared_store_transactions","Shared Store Transactions",69888,69888,69888
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"shared_load_transactions","Shared Load Transactions",137216,137216,137216
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"gld_transactions","Global Load Transactions",1048578,1048578,1048578
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"gst_transactions","Global Store Transactions",2048,2048,2048
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"l2_read_transactions","L2 Read Transactions",262192,262192,262192
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"l2_write_transactions","L2 Write Transactions",2289,2289,2289
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NN_vec",4,"dram_read_transactions","Device Memory Read Transactions",139492,139548,139508
