==28072== NVPROF is profiling process 28072, command: ../darknet --test_type rnn --bidirection 0 -s 4
==28072== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28072== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==28072== Profiling application: ../darknet --test_type rnn --bidirection 0 -s 4
==28072== Profiling result:
==28072== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_per_warp","Instructions per warp",301356.000000,301356.000000,301356.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.273802%,98.273802%,98.273802%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_replay_overhead","Instruction Replay Overhead",0.000006,0.000007,0.000007
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.995143,1.995143,1.995143
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.507728,0.507728,0.507728
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gld_transactions_per_request","Global Load Transactions Per Request",30.971645,30.971645,30.971645
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"shared_store_transactions","Shared Store Transactions",8544256,8544256,8544256
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"shared_load_transactions","Shared Load Transactions",67305472,67305472,67305472
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gld_transactions","Global Load Transactions",134217730,134217730,134217730
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gst_transactions","Global Store Transactions",524288,524288,524288
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_read_transactions","L2 Read Transactions",33232800,33310872,33267214
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_write_transactions","L2 Write Transactions",524527,524529,524528
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"dram_read_transactions","Device Memory Read Transactions",8973185,9069394,9014616
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"dram_write_transactions","Device Memory Write Transactions",523900,544534,538346
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"global_hit_rate","Global Hit Rate in unified l1/tex",0.709152%,0.881243%,0.783622%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gld_requested_throughput","Requested Global Load Throughput",216.068589GB/s,244.018616GB/s,235.853117GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gst_requested_throughput","Requested Global Store Throughput",3.376072GB/s,3.812791GB/s,3.685205GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gld_throughput","Global Load Throughput",216.068589GB/s,244.018616GB/s,235.853117GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gst_throughput","Global Store Throughput",3.376072GB/s,3.812791GB/s,3.685205GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"tex_cache_hit_rate","Unified Cache Hit Rate",2.256960%,2.311799%,2.283235%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",71.888298%,72.890554%,72.331520%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"dram_read_throughput","Device Memory Read Throughput",57.965696GB/s,65.955549GB/s,63.363475GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"dram_write_throughput","Device Memory Write Throughput",3.373573GB/s,3.960026GB/s,3.784020GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"tex_cache_throughput","Unified Cache Throughput",216.068589GB/s,244.018616GB/s,235.853117GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",214.394050GB/s,242.013898GB/s,233.988556GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",3.376072GB/s,3.812791GB/s,3.685205GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_read_throughput","L2 Throughput (Reads)",213.997489GB/s,241.797532GB/s,233.834270GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_write_throughput","L2 Throughput (Writes)",3.377611GB/s,3.814536GB/s,3.686892GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"sysmem_write_throughput","System Memory Write Throughput",33.759766KB/s,38.126953KB/s,36.850586KB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"shared_load_throughput","Shared Memory Load Throughput",1733.612818GB/s,1957.868112GB/s,1892.352746GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"shared_store_throughput","Shared Memory Store Throughput",220.077674GB/s,248.546305GB/s,240.229298GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"tex_cache_transactions","Unified Cache Transactions",33554432,33554432,33554432
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"flop_count_sp","Floating Point Operations(Single Precision)",34372517888,34372517888,34372517888
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",17184129024,17184129024,17184129024
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",4259840,4259840,4259840
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",65536,65536,65536
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_executed","Instructions Executed",617177088,617177088,617177088
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_issued","Instructions Issued",617181025,617181192,617181097
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"dram_utilization","Device Memory Utilization","Low (1)","Low (2)","Low (1)"
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",3.374376%,3.434396%,3.410680%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",0.383462%,0.389555%,0.386338%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_memory_dependency","Issue Stall Reasons (Data Request)",9.308286%,9.707048%,9.521154%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_texture","Issue Stall Reasons (Texture)",0.000083%,0.001127%,0.000609%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_sync","Issue Stall Reasons (Synchronization)",10.986561%,11.142596%,11.033534%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_other","Issue Stall Reasons (Other)",18.056749%,18.424689%,18.218579%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.009089%,0.009590%,0.009291%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.521841%,0.540327%,0.532638%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"shared_efficiency","Shared Memory Efficiency",44.610987%,44.610987%,44.610987%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_fp_32","FP Instructions(Single)",17188454400,17188454400,17188454400
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_integer","Integer Instructions",524943360,524943360,524943360
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_bit_convert","Bit-Convert Instructions",196608,196608,196608
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_control","Control-Flow Instructions",68222976,68222976,68222976
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_compute_ld_st","Load/Store Instructions",1420361728,1420361728,1420361728
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_misc","Misc Instructions",105709568,105709568,105709568
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"issue_slots","Issue Slots",560316257,560316405,560316320
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"cf_issued","Issued Control-Flow Instructions",3184640,3184640,3184640
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"cf_executed","Executed Control-Flow Instructions",3184640,3184640,3184640
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"ldst_issued","Issued Load/Store Instructions",61585408,61585408,61585408
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"ldst_executed","Executed Load/Store Instructions",58187776,58187776,58187776
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"atomic_transactions","Atomic Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",33278768,33298176,33289164
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.003105%,0.003672%,0.003426%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"stall_not_selected","Issue Stall Reasons (Not Selected)",56.837784%,56.908328%,56.883751%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",524288,524288,524288
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_total_data_transmitted","NVLink Total Data Transmitted",576,576,576
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_total_data_received","NVLink Total Data Received",384,384,384
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_user_data_transmitted","NVLink User Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_user_data_received","NVLink User Data Received",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_overhead_data_transmitted","NVLink Overhead Data Transmitted",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_overhead_data_received","NVLink Overhead Data Received",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_total_nratom_data_transmitted","NVLink Total Nratom Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_user_nratom_data_transmitted","NVLink User Nratom Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_total_ratom_data_transmitted","NVLink Total Ratom Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_user_ratom_data_transmitted","NVLink User Ratom Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_total_write_data_transmitted","NVLink Total Write Data Transmitted",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_128x128x8_NT_vec",4,"nvlink_user_write_data_transmitted","NVLink User Write Data Transmitted",0,0,0
