==26262== NVPROF is profiling process 26262, command: ../darknet --test_type rnn --bidirection 0 -s 1
==26262== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==26262== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==26262== Profiling application: ../darknet --test_type rnn --bidirection 0 -s 1
==26262== Profiling result:
==26262== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"inst_per_warp","Instructions per warp",5528.000000,5528.000000,5528.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.263386%,98.263386%,98.263386%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"inst_replay_overhead","Instruction Replay Overhead",0.000543,0.000613,0.000560
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.767442,1.767442,1.767442
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.121107,1.121107,1.121107
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"gld_transactions_per_request","Global Load Transactions Per Request",51.200098,51.200098,51.200098
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"shared_store_transactions","Shared Store Transactions",82944,82944,82944
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"shared_load_transactions","Shared Load Transactions",155648,155648,155648
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"gld_transactions","Global Load Transactions",1048578,1048578,1048578
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"gst_transactions","Global Store Transactions",8192,8192,8192
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"l2_read_transactions","L2 Read Transactions",246000,248560,247336
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"l2_write_transactions","L2 Write Transactions",8432,8433,8432
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"dram_read_transactions","Device Memory Read Transactions",132491,133615,133037
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"dram_write_transactions","Device Memory Write Transactions",55140,56122,55641
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"global_hit_rate","Global Hit Rate in unified l1/tex",5.999756%,6.250000%,6.166077%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"gld_requested_throughput","Requested Global Load Throughput",280.540793GB/s,303.186122GB/s,294.936530GB/s
"Tesla P100-SXM2-16GB (0)","sgemm_32x32x32_NT_vec",4,"gst_requested_throughput","Requested Global Store Throughput",8.766900GB/s,9.474566GB/s,9.216767GB/s
