==26427== NVPROF is profiling process 26427, command: ../darknet --test_type softmax --bidirection -1 -s 1
==26427== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==26427== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==26427== Profiling application: ../darknet --test_type softmax --bidirection -1 -s 1
==26427== Profiling result:
==26427== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"inst_per_warp","Instructions per warp",23.000000,23.000000,23.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",95.652174%,95.652174%,95.652174%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"inst_replay_overhead","Instruction Replay Overhead",0.086957,0.086957,0.086957
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"gld_transactions","Global Load Transactions",2,2,2
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"gst_transactions","Global Store Transactions",2048,2048,2048
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"l2_read_transactions","L2 Read Transactions",96,96,96
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"l2_write_transactions","L2 Write Transactions",2061,2061,2061
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"dram_write_transactions","Device Memory Write Transactions",0,32,7
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"gst_requested_throughput","Requested Global Store Throughput",23.093135GB/s,23.242634GB/s,23.172041GB/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","fill_kernel(int, float, float*, int)",5,"gst_throughput","Global Store Throughput",23.093135GB/s,23.242634GB/s,23.172041GB/s
