==28230== NVPROF is profiling process 28230, command: ../darknet --test_type softmax --bidirection 0 -s 4
==28230== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28230== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==28230== Profiling application: ../darknet --test_type softmax --bidirection 0 -s 4
==28230== Profiling result:
==28230== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"inst_per_warp","Instructions per warp",601.250000,601.250000,601.250000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",99.758316%,99.758316%,99.758316%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",84.975956%,84.975956%,84.975956%
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.009709,0.009709,0.009709
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.600000,0.600000,0.600000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.600000,0.600000,0.600000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",16.000061,16.000061,16.000061
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=0, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)",1,"shared_store_transactions","Shared Store Transactions",3840,3840,3840
