==5107== NVPROF is profiling process 5107, command: ./dwt2d -s 4 -n 1
==5107== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5107== Profiling application: ./dwt2d -s 4 -n 1
==5107== Profiling result:
==5107== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"inst_per_warp","Instructions per warp",12309.842424,47120.867700,27781.711299
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"warp_execution_efficiency","Warp Execution Efficiency",98.315484%,98.329171%,98.323065%
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",90.132906%,90.663660%,90.460479%
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"inst_replay_overhead","Instruction Replay Overhead",0.000052,0.001674,0.000604
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.863003,0.863741,0.863333
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.907194,0.907896,0.907509
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"gld_transactions_per_request","Global Load Transactions Per Request",14.857143,14.857146,14.857144
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"gst_transactions_per_request","Global Store Transactions Per Request",3.782742,3.955473,3.888341
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"shared_store_transactions","Shared Store Transactions",3454590,51978390,22865921
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"shared_load_transactions","Shared Load Transactions",5183640,78158520,34374340
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","void dwt_cuda::fdwt97Kernel<int=192, int=8>(float const *, float*, int, int, int)",9,"gld_transactions","Global Load Transactions",9845266,147960594,65098212
