==34209== NVPROF is profiling process 34209, command: ./fdtd2d
==34209== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==34209== Profiling application: ./fdtd2d
==34209== Profiling result:
==34209== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_per_warp","Instructions per warp",36.000000,36.000000,36.000000
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"warp_execution_efficiency","Warp Execution Efficiency",99.943034%,99.943034%,99.943034%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.167969%,97.167969%,97.167969%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_replay_overhead","Instruction Replay Overhead",0.004118,0.004957,0.004298
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gld_transactions_per_request","Global Load Transactions Per Request",16.000020,16.000020,16.000020
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gst_transactions_per_request","Global Store Transactions Per Request",4.871094,4.871094,4.871094
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gld_transactions","Global Load Transactions",1572866,1572866,1572866
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gst_transactions","Global Store Transactions",159616,159616,159616
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"l2_read_transactions","L2 Read Transactions",318803,319798,319294
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"l2_write_transactions","L2 Write Transactions",159637,159637,159637
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"dram_read_transactions","Device Memory Read Transactions",262185,262285,262256
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"dram_write_transactions","Device Memory Write Transactions",137294,138770,137987
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"global_hit_rate","Global Hit Rate in unified l1/tex",29.529398%,29.688162%,29.592472%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gld_requested_throughput","Requested Global Load Throughput",375.450770GB/s,378.607655GB/s,376.860417GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gst_requested_throughput","Requested Global Store Throughput",125.150257GB/s,126.202552GB/s,125.620139GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gld_throughput","Global Load Throughput",433.438279GB/s,437.082738GB/s,435.065643GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gst_throughput","Global Store Throughput",152.553636GB/s,153.836346GB/s,153.126406GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"tex_cache_hit_rate","Unified Cache Hit Rate",60.421621%,60.471987%,60.454385%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",17.710897%,18.041116%,17.853129%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"dram_read_throughput","Device Memory Read Throughput",250.584372GB/s,252.722190GB/s,251.594101GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"dram_write_throughput","Device Memory Write Throughput",131.653900GB/s,133.335535GB/s,132.376875GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"tex_cache_throughput","Unified Cache Throughput",375.817779GB/s,378.977750GB/s,377.228805GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",305.234837GB/s,307.744976GB/s,306.352453GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",152.553636GB/s,153.836346GB/s,153.126406GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"l2_read_throughput","L2 Throughput (Reads)",305.518058GB/s,307.625466GB/s,306.313120GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"l2_write_throughput","L2 Throughput (Writes)",152.573707GB/s,153.856586GB/s,153.146552GB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"sysmem_write_throughput","System Memory Write Throughput",4.893460MB/s,4.934606MB/s,4.911802MB/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gld_efficiency","Global Memory Load Efficiency",86.621507%,86.621507%,86.621507%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"gst_efficiency","Global Memory Store Efficiency",82.036889%,82.036889%,82.036889%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"tex_cache_transactions","Unified Cache Transactions",393216,393216,393216
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"flop_count_sp","Floating Point Operations(Single Precision)",3142656,3142656,3142656
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",1047552,1047552,1047552
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",1047552,1047552,1047552
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_executed","Instructions Executed",1179648,1179648,1179648
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_issued","Instructions Issued",1184506,1188674,1185275
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"dram_utilization","Device Memory Utilization","Mid (6)","Mid (6)","Mid (6)"
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",1.064847%,1.149468%,1.115430%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",3.113706%,3.257189%,3.218606%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"stall_memory_dependency","Issue Stall Reasons (Data Request)",69.990903%,72.724861%,70.782686%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"stall_texture","Issue Stall Reasons (Texture)",0.594647%,0.724784%,0.662242%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"stall_other","Issue Stall Reasons (Other)",3.895936%,4.205431%,4.040160%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.520628%,1.441919%,0.692929%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.363552%,0.379935%,0.375107%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_fp_32","FP Instructions(Single)",2095104,2095104,2095104
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_integer","Integer Instructions",23055360,23055360,23055360
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_control","Control-Flow Instructions",1048576,1048576,1048576
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_compute_ld_st","Load/Store Instructions",4190208,4190208,4190208
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_misc","Misc Instructions",6290432,6290432,6290432
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"issue_slots","Issue Slots",1118970,1123138,1119736
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"cf_issued","Issued Control-Flow Instructions",65536,65536,65536
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"cf_executed","Executed Control-Flow Instructions",65536,65536,65536
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"ldst_issued","Issued Load/Store Instructions",655360,655360,655360
"Tesla P100-SXM2-16GB (2)","kernel2(float*, float*, float*, int)",22,"ldst_executed","Executed Load/Store Instructions",262144,262144,262144
