==884== NVPROF is profiling process 884, command: ./lavamd -s 1 -n 1
==884== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==884== Profiling application: ./lavamd -s 1 -n 1
==884== Profiling result:
==884== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"inst_per_warp","Instructions per warp",4717.000000,4717.000000,4717.000000
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"warp_execution_efficiency","Warp Execution Efficiency",78.431074%,78.431074%,78.431074%
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",78.251537%,78.251537%,78.251537%
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.001272,0.001272,0.001272
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.039683,2.039683,2.039683
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",6.000000,6.000000,6.000000
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",23.500000,23.500000,23.500000
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",25.000000,25.000000,25.000000
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_store_transactions","Shared Store Transactions",120,120,120
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"shared_load_transactions","Shared Load Transactions",2056,2056,2056
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*)",1,"local_store_transactions","Local Store Transactions",0,0,0
