==33825== NVPROF is profiling process 33825, command: ./mandelbrot -s 4 -n 1
==33825== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==33825== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==33825== Profiling application: ./mandelbrot -s 4 -n 1
==33825== Profiling result:
==33825== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"inst_per_warp","Instructions per warp",467.990160,467.990160,467.990160
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"branch_efficiency","Branch Efficiency",99.993834%,99.993834%,99.993834%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",72.518559%,72.518559%,72.518559%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",67.583486%,67.583486%,67.583486%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.011757,0.011757,0.011757
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.633447,0.633447,0.633447
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",2.974752,2.974752,2.974752
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",2.374650,2.374650,2.374650
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",14.144786,14.144786,14.144786
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.379137,4.379137,4.379137
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"shared_store_transactions","Shared Store Transactions",865664,865664,865664
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",1332544,1332544,1332544
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"local_load_transactions","Local Load Transactions",21270131,21270131,21270131
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"local_store_transactions","Local Store Transactions",21589944,21589944,21589944
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gld_transactions","Global Load Transactions",20286183,20286183,20286183
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gst_transactions","Global Store Transactions",149484641,149484641,149484641
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"sysmem_write_transactions","System Memory Write Transactions",48900,48900,48900
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"l2_read_transactions","L2 Read Transactions",31215895,31215895,31215895
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"l2_write_transactions","L2 Write Transactions",178177489,178177489,178177489
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",7427960,7427960,7427960
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",159157627,159157627,159157627
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",20.175401%,20.175401%,20.175401%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"local_hit_rate","Local Hit Rate",43.112875%,43.112875%,43.112875%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gst_requested_throughput","Requested Global Store Throughput",26.034507GB/s,26.034507GB/s,26.034507GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gst_throughput","Global Store Throughput",28.970978GB/s,28.970978GB/s,28.970978GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"local_memory_overhead","Local Memory Overhead",18.046599%,18.046599%,18.046599%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",46.770850%,46.770850%,46.770850%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",82.014247%,82.014247%,82.014247%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",11.168781%,11.168781%,11.168781%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"dram_read_throughput","Device Memory Read Throughput",1.439581GB/s,1.439581GB/s,1.439581GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"dram_write_throughput","Device Memory Write Throughput",30.845658GB/s,30.845658GB/s,30.845658GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"tex_cache_throughput","Unified Cache Throughput",3.890137GB/s,3.890137GB/s,3.890137GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",3.011629GB/s,3.011629GB/s,3.011629GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",33.135097GB/s,33.135097GB/s,33.135097GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"l2_read_throughput","L2 Throughput (Reads)",6.049819GB/s,6.049819GB/s,6.049819GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"l2_write_throughput","L2 Throughput (Writes)",34.531816GB/s,34.531816GB/s,34.531816GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"sysmem_write_throughput","System Memory Write Throughput",9.704550MB/s,9.704550MB/s,9.704549MB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"local_load_throughput","Local Memory Load Throughput",4.122273GB/s,4.122273GB/s,4.122273GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"local_store_throughput","Local Memory Store Throughput",4.184255GB/s,4.184255GB/s,4.184255GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"shared_load_throughput","Shared Memory Load Throughput",1.033019GB/s,1.033019GB/s,1.033019GB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"shared_store_throughput","Shared Memory Store Throughput",687.188509MB/s,687.188509MB/s,687.188508MB/s
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"gst_efficiency","Global Memory Store Efficiency",89.864095%,89.864095%,89.864095%
"Tesla P100-SXM2-16GB (0)","mandelbrot_block_k(int*, int, int, complex, complex, int, int, int, int, int)",1,"tex_cache_transactions","Unified Cache Transactions",20072352,20072352,20072352
