==34070== NVPROF is profiling process 34070, command: ./particlefilter_float -s 4 -n 2
==34070== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==34070== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==34070== Profiling application: ./particlefilter_float -s 4 -n 2
==34070== Profiling result:
==34070== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"inst_per_warp","Instructions per warp",10.177361,10.177361,10.177361
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"warp_execution_efficiency","Warp Execution Efficiency",98.311753%,98.311772%,98.311758%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.311635%,98.311654%,98.311646%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"inst_replay_overhead","Instruction Replay Overhead",0.005016,0.011267,0.005711
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"gld_transactions_per_request","Global Load Transactions Per Request",7.996931,7.996931,7.996931
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"gld_transactions","Global Load Transactions",15634,15634,15634
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"gst_transactions","Global Store Transactions",1,1,1
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"l2_read_transactions","L2 Read Transactions",545,585,549
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"l2_write_transactions","L2 Write Transactions",14,14,14
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"dram_read_transactions","Device Memory Read Transactions",497,617,525
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"dram_write_transactions","Device Memory Write Transactions",364,596,478
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"global_hit_rate","Global Hit Rate in unified l1/tex",74.974411%,74.974411%,74.974411%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",12,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
