==43801== NVPROF is profiling process 43801, command: ./particlefilter_float -s 4 -n 1
==43801== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==43801== Profiling application: ./particlefilter_float -s 4 -n 1
==43801== Profiling result:
==43801== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"inst_per_warp","Instructions per warp",10.173458,10.173458,10.173458
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"warp_execution_efficiency","Warp Execution Efficiency",98.348264%,98.348283%,98.348272%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.348146%,98.348165%,98.348158%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"inst_replay_overhead","Instruction Replay Overhead",0.005005,0.011271,0.006039
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"gld_transactions_per_request","Global Load Transactions Per Request",7.996931,7.996931,7.996931
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"gld_transactions","Global Load Transactions",15634,15634,15634
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"gst_transactions","Global Store Transactions",1,1,1
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"l2_read_transactions","L2 Read Transactions",545,729,689
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"l2_write_transactions","L2 Write Transactions",14,14,14
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"dram_read_transactions","Device Memory Read Transactions",497,609,509
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"dram_write_transactions","Device Memory Write Transactions",252,528,448
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"global_hit_rate","Global Hit Rate in unified l1/tex",74.974411%,74.974411%,74.974411%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"gld_requested_throughput","Requested Global Load Throughput",156.070319MB/s,157.693145MB/s,157.394049MB/s
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"gst_requested_throughput","Requested Global Store Throughput",81.789062KB/s,82.638672KB/s,82.471680KB/s
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"gld_throughput","Global Load Throughput",624.281278MB/s,630.772582MB/s,629.576227MB/s
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",14,"gst_throughput","Global Store Throughput",327.156250KB/s,330.557617KB/s,329.920898KB/s
