==1055== NVPROF is profiling process 1055, command: ./particlefilter_float -s 1 -n 1
==1055== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1055== Profiling application: ./particlefilter_float -s 1 -n 1
==1055== Profiling result:
==1055== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"inst_per_warp","Instructions per warp",11.750000,11.750000,11.750000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",85.571809%,85.571809%,85.571809%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",85.538564%,85.538564%,85.538564%
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.090426,0.090426,0.090426
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",10.000000,10.000000,10.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"gld_transactions","Global Load Transactions",10,10,10
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"gst_transactions","Global Store Transactions",1,1,1
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","sum_kernel(double*, int)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
