==18750== NVPROF is profiling process 18750, command: ./raytracing -s 4 -d 2
==18750== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==18750== Profiling application: ./raytracing -s 4 -d 2
==18750== Profiling result:
==18750== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"inst_per_warp","Instructions per warp",1480970.000000,1480970.000000,1480970.000000
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"warp_execution_efficiency","Warp Execution Efficiency",3.125000%,3.125000%,3.125000%
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",2.943054%,2.943054%,2.943054%
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000210,0.000210,0.000210
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",1.059281,1.059281,1.059281
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",1.076145,1.076145,1.076145
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",48.340861,48.340861,48.340861
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",2.635385,2.635385,2.635385
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"local_load_transactions","Local Load Transactions",35255,35255,35255
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"local_store_transactions","Local Store Transactions",43487,43487,43487
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"gld_transactions","Global Load Transactions",430282,430282,430282
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"gst_transactions","Global Store Transactions",10531,10531,10531
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"l2_read_transactions","L2 Read Transactions",151597,151597,151597
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"l2_write_transactions","L2 Write Transactions",62930,62930,62930
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"dram_read_transactions","Device Memory Read Transactions",1718,1718,1718
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"dram_write_transactions","Device Memory Write Transactions",4885,4885,4885
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",0.006514%,0.006514%,0.006514%
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"local_hit_rate","Local Hit Rate",2.530138%,2.530138%,2.530138%
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"gld_requested_throughput","Requested Global Load Throughput",3.346680KB/s,3.346680KB/s,3.345703KB/s
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"gst_requested_throughput","Requested Global Store Throughput",1.209772MB/s,1.209772MB/s,1.209771MB/s
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"gld_throughput","Global Load Throughput",20.083008KB/s,20.083008KB/s,20.082031KB/s
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"gst_throughput","Global Store Throughput",13.769380MB/s,13.769380MB/s,13.769379MB/s
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"local_memory_overhead","Local Memory Overhead",39.754680%,39.754680%,39.754680%
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",4.765934%,4.765934%,4.765934%
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",99.245459%,99.245459%,99.245459%
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",99.563109%,99.563109%,99.563109%
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"dram_read_throughput","Device Memory Read Throughput",2.246301MB/s,2.246301MB/s,2.246300MB/s
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"dram_write_throughput","Device Memory Write Throughput",6.387182MB/s,6.387182MB/s,6.387181MB/s
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"tex_cache_throughput","Unified Cache Throughput",193.155725MB/s,193.155725MB/s,193.155724MB/s
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",185.415270MB/s,185.415270MB/s,185.415269MB/s
"Tesla P100-SXM2-16GB (2)","create_world(hitable**, hitable**, camera**, int, int, curandStateXORWOW*)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",70.629034MB/s,70.629034MB/s,70.629033MB/s
