==37526== NVPROF is profiling process 37526, command: ./srad -s 4 -n 1
==37526== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==37526== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==37526== Profiling application: ./srad -s 4 -n 1
==37526== Profiling result:
==37526== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"inst_per_warp","Instructions per warp",287.516594,287.518858,287.517534
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"branch_efficiency","Branch Efficiency",97.175133%,97.175265%,97.175210%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"warp_execution_efficiency","Warp Execution Efficiency",97.634439%,97.635192%,97.634879%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",90.304400%,90.306541%,90.306148%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"inst_replay_overhead","Instruction Replay Overhead",0.000020,0.000022,0.000021
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.375000,1.375000,1.375000
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.857183,0.882431,0.858445
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"gld_transactions_per_request","Global Load Transactions Per Request",16.000000,16.000000,16.000000
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"shared_store_transactions","Shared Store Transactions",50249696,51729825,50323702
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"shared_load_transactions","Shared Load Transactions",69070848,69070848,69070848
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"gld_transactions","Global Load Transactions",670039554,670039554,670039554
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"gst_transactions","Global Store Transactions",167444480,167444480,167444480
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"l2_read_transactions","L2 Read Transactions",71153201,71155094,71154133
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"l2_write_transactions","L2 Write Transactions",167444693,167444701,167444697
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"dram_read_transactions","Device Memory Read Transactions",37666039,37669224,37667343
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"dram_write_transactions","Device Memory Write Transactions",167447489,167450777,167448574
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"global_hit_rate","Global Hit Rate in unified l1/tex",29.199730%,29.202010%,29.200824%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"gld_requested_throughput","Requested Global Load Throughput",112.718821GB/s,112.859856GB/s,112.776717GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"gst_requested_throughput","Requested Global Store Throughput",265.205521GB/s,265.537349GB/s,265.341740GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"gld_throughput","Global Load Throughput",159.175110GB/s,159.374272GB/s,159.256868GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"gst_throughput","Global Store Throughput",265.205521GB/s,265.537349GB/s,265.341740GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"tex_cache_hit_rate","Unified Cache Hit Rate",60.422665%,60.423147%,60.422831%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",47.060081%,47.064482%,47.062092%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",49.999998%,50.000000%,50.000000%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"dram_read_throughput","Device Memory Read Throughput",59.658478GB/s,59.733252GB/s,59.689745GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",20,"dram_write_throughput","Device Memory Write Throughput",265.211151GB/s,265.542768GB/s,265.348227GB/s
