==48678== NVPROF is profiling process 48678, command: ./srad -s 3 -n 1
==48678== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==48678== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==48678== Profiling application: ./srad -s 3 -n 1
==48678== Profiling result:
==48678== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"inst_per_warp","Instructions per warp",286.065948,286.066668,286.066196
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"branch_efficiency","Branch Efficiency",97.175602%,97.175644%,97.175629%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"warp_execution_efficiency","Warp Execution Efficiency",97.636921%,97.637161%,97.637079%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",90.012463%,90.309209%,90.184357%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"inst_replay_overhead","Instruction Replay Overhead",0.000055,0.000093,0.000075
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.375000,1.375000,1.375000
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.869212,0.999969,0.968966
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gld_transactions_per_request","Global Load Transactions Per Request",16.000001,16.000001,16.000001
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"shared_store_transactions","Shared Store Transactions",3168633,3645295,3532275
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"shared_load_transactions","Shared Load Transactions",4291584,4291584,4291584
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gld_transactions","Global Load Transactions",41680386,41680386,41680386
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gst_transactions","Global Store Transactions",10403840,10403840,10403840
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"l2_read_transactions","L2 Read Transactions",4416459,4417825,4417474
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"l2_write_transactions","L2 Write Transactions",10404053,10404061,10404058
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"dram_read_transactions","Device Memory Read Transactions",2082114,2082391,2082244
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"dram_write_transactions","Device Memory Write Transactions",10406048,10410165,10407583
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"global_hit_rate","Global Hit Rate in unified l1/tex",29.341764%,29.351715%,29.345760%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gld_requested_throughput","Requested Global Load Throughput",110.906419GB/s,112.167558GB/s,111.887435GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gst_requested_throughput","Requested Global Store Throughput",260.896332GB/s,263.863036GB/s,263.204075GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gld_throughput","Global Load Throughput",156.741625GB/s,158.523965GB/s,158.128073GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gst_throughput","Global Store Throughput",260.896332GB/s,263.863036GB/s,263.204075GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"tex_cache_hit_rate","Unified Cache Hit Rate",60.447269%,60.449113%,60.448059%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",52.854110%,52.868462%,52.861089%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",50.000000%,50.000000%,50.000000%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"dram_read_throughput","Device Memory Read Throughput",52.214976GB/s,52.813618GB/s,52.678174GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"dram_write_throughput","Device Memory Write Throughput",261.009806GB/s,264.000431GB/s,263.298781GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"tex_cache_throughput","Unified Cache Throughput",261.303983GB/s,264.275322GB/s,263.615331GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",110.743394GB/s,112.005748GB/s,111.725429GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",260.896332GB/s,263.863036GB/s,263.204075GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"l2_read_throughput","L2 Throughput (Reads)",110.775142GB/s,112.044806GB/s,111.756548GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"l2_write_throughput","L2 Throughput (Writes)",260.901774GB/s,263.868642GB/s,263.209598GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"sysmem_write_throughput","System Memory Write Throughput",131.474609KB/s,132.969727KB/s,132.636719KB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"shared_load_throughput","Shared Memory Load Throughput",430.478949GB/s,435.374010GB/s,434.286723GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"shared_store_throughput","Shared Memory Store Throughput",321.441843GB/s,369.007475GB/s,357.448517GB/s
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gld_efficiency","Global Memory Load Efficiency",70.757477%,70.757477%,70.757477%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"tex_cache_transactions","Unified Cache Transactions",10420096,10420096,10420096
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"flop_count_dp","Floating Point Operations(Double Precision)",266338304,266338304,266338304
"Tesla P100-SXM2-16GB (0)","srad_cuda_1(float*, float*, float*, float*, float*, float*, int, int, float)",15,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",16646144,16646144,16646144
