==36405== NVPROF is profiling process 36405, command: ./srad -s 1 -n 1 -d 2
==36405== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==36405== Profiling application: ./srad -s 1 -n 1 -d 2
==36405== Profiling result:
==36405== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"inst_per_warp","Instructions per warp",415.062500,415.234375,415.131250
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"branch_efficiency","Branch Efficiency",96.022932%,96.026437%,96.024334%
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"warp_execution_efficiency","Warp Execution Efficiency",95.284866%,95.323029%,95.307762%
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",86.513718%,86.613407%,86.557829%
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"inst_replay_overhead","Instruction Replay Overhead",0.013505,0.014140,0.013778
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.296053,1.296053,1.296053
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.997567,1.000000,0.999364
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",7.222222,7.222222,7.222222
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",3.666667,3.666667,3.666667
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"gld_transactions_per_request","Global Load Transactions Per Request",13.522906,13.543301,13.535394
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"gst_transactions_per_request","Global Store Transactions Per Request",3.996713,3.996713,3.996713
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"shared_store_transactions","Shared Store Transactions",5331,5344,5340
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"shared_load_transactions","Shared Load Transactions",6304,6304,6304
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"local_load_transactions","Local Load Transactions",4160,4160,4160
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"local_store_transactions","Local Store Transactions",2112,2112,2112
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"gld_transactions","Global Load Transactions",101182,101246,101206
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"gst_transactions","Global Store Transactions",9728,9728,9728
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"l2_read_transactions","L2 Read Transactions",21571,21599,21587
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"l2_write_transactions","L2 Write Transactions",11919,11919,11919
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"dram_write_transactions","Device Memory Write Transactions",84,108,97
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"global_hit_rate","Global Hit Rate in unified l1/tex",11.937913%,12.066832%,12.035891%
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"local_hit_rate","Local Hit Rate",49.230769%,49.230769%,49.230769%
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"gld_requested_throughput","Requested Global Load Throughput",45.100438GB/s,45.570490GB/s,45.324847GB/s
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"gst_requested_throughput","Requested Global Store Throughput",26.003856GB/s,26.274877GB/s,26.133245GB/s
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"gld_throughput","Global Load Throughput",51.836634GB/s,52.376893GB/s,52.094560GB/s
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"gst_throughput","Global Store Throughput",26.003856GB/s,26.274877GB/s,26.133245GB/s
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"local_memory_overhead","Local Memory Overhead",13.613949%,13.670345%,13.630321%
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"tex_cache_hit_rate","Unified Cache Hit Rate",57.112456%,57.238936%,57.189602%
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",99.859346%,100.000000%,99.971869%
"Tesla P100-SXM2-16GB (2)","srad_cuda_3(srad_params)",5,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
